comuna,station_id,day,avg_pm25,num_hourly_obs
Las Condes,D14,2018-01-01,15.181818181818182,22
Pudahuel,D30,2018-01-01,13.863636363636363,22
Puente Alto,D15,2018-01-01,13.454545454545455,22
Santiago,D13,2018-01-01,13.272727272727273,22
Las Condes,D14,2018-01-02,11.916666666666666,24
Pudahuel,D30,2018-01-02,12.521739130434783,23
Puente Alto,D15,2018-01-02,11.5,24
Santiago,D13,2018-01-02,14.73913043478261,23
Las Condes,D14,2018-01-03,10.0,24
Pudahuel,D30,2018-01-03,10.916666666666666,24
Puente Alto,D15,2018-01-03,11.25,24
Quilicura,D31,2018-01-03,10.166666666666666,24
Santiago,D13,2018-01-03,12.125,24
Las Condes,D14,2018-01-04,9.125,24
Pudahuel,D30,2018-01-04,6.5,24
Puente Alto,D15,2018-01-04,10.125,24
Quilicura,D31,2018-01-04,5.125,24
Santiago,D13,2018-01-04,9.0,24
Las Condes,D14,2018-01-05,9.5,24
Pudahuel,D30,2018-01-05,8.291666666666666,24
Puente Alto,D15,2018-01-05,9.666666666666666,24
Quilicura,D31,2018-01-05,7.5,24
Santiago,D13,2018-01-05,12.166666666666666,24
Las Condes,D14,2018-01-06,12.375,24
Pudahuel,D30,2018-01-06,12.041666666666666,24
Puente Alto,D15,2018-01-06,15.875,24
Santiago,D13,2018-01-06,12.416666666666666,24
Las Condes,D14,2018-01-07,13.958333333333334,24
Pudahuel,D30,2018-01-07,19.333333333333332,24
Puente Alto,D15,2018-01-07,13.375,24
Santiago,D13,2018-01-07,17.958333333333332,24
Las Condes,D14,2018-01-08,14.25,20
Pudahuel,D30,2018-01-08,10.391304347826088,23
Puente Alto,D15,2018-01-08,12.5,24
Santiago,D13,2018-01-08,12.708333333333334,24
Las Condes,D14,2018-01-09,15.375,24
Pudahuel,D30,2018-01-09,11.4,20
Puente Alto,D15,2018-01-09,14.833333333333334,24
Quilicura,D31,2018-01-09,10.0,24
Santiago,D13,2018-01-09,10.583333333333334,24
Las Condes,D14,2018-01-10,19.041666666666668,24
Pudahuel,D30,2018-01-10,19.875,24
Puente Alto,D15,2018-01-10,16.666666666666668,24
Quilicura,D31,2018-01-10,14.73913043478261,23
Santiago,D13,2018-01-10,21.958333333333332,24
Las Condes,D14,2018-01-11,19.583333333333332,24
Pudahuel,D30,2018-01-11,16.25,24
Puente Alto,D15,2018-01-11,17.181818181818183,22
Quilicura,D31,2018-01-11,14.458333333333334,24
Santiago,D13,2018-01-11,17.583333333333332,24
Las Condes,D14,2018-01-12,18.125,24
Pudahuel,D30,2018-01-12,14.5,24
Puente Alto,D15,2018-01-12,17.583333333333332,24
Quilicura,D31,2018-01-12,13.458333333333334,24
Santiago,D13,2018-01-12,14.041666666666666,24
Las Condes,D14,2018-01-13,19.125,24
Pudahuel,D30,2018-01-13,14.458333333333334,24
Puente Alto,D15,2018-01-13,19.75,24
Quilicura,D31,2018-01-13,14.208333333333334,24
Santiago,D13,2018-01-13,15.333333333333334,24
Las Condes,D14,2018-01-14,16.916666666666668,24
Pudahuel,D30,2018-01-14,15.416666666666666,24
Puente Alto,D15,2018-01-14,19.26086956521739,23
Quilicura,D31,2018-01-14,14.375,24
Santiago,D13,2018-01-14,15.291666666666666,24
Las Condes,D14,2018-01-15,15.833333333333334,24
Pudahuel,D30,2018-01-15,11.208333333333334,24
Puente Alto,D15,2018-01-15,14.791666666666666,24
Quilicura,D31,2018-01-15,11.0,24
Santiago,D13,2018-01-15,12.625,24
Las Condes,D14,2018-01-16,13.217391304347826,23
Pudahuel,D30,2018-01-16,10.916666666666666,24
Puente Alto,D15,2018-01-16,12.833333333333334,24
Quilicura,D31,2018-01-16,10.083333333333334,24
Santiago,D13,2018-01-16,11.333333333333334,24
Las Condes,D14,2018-01-17,14.291666666666666,24
Pudahuel,D30,2018-01-17,11.954545454545455,22
Puente Alto,D15,2018-01-17,14.958333333333334,24
Quilicura,D31,2018-01-17,14.041666666666666,24
Santiago,D13,2018-01-17,14.083333333333334,24
Las Condes,D14,2018-01-18,14.75,24
Pudahuel,D30,2018-01-18,12.416666666666666,24
Puente Alto,D15,2018-01-18,14.75,24
Quilicura,D31,2018-01-18,13.05,20
Santiago,D13,2018-01-18,14.0,21
Las Condes,D14,2018-01-19,15.666666666666666,24
Pudahuel,D30,2018-01-19,15.083333333333334,24
Puente Alto,D15,2018-01-19,15.666666666666666,24
Quilicura,D31,2018-01-19,14.916666666666666,24
Santiago,D13,2018-01-19,16.708333333333332,24
Las Condes,D14,2018-01-20,18.791666666666668,24
Pudahuel,D30,2018-01-20,14.541666666666666,24
Puente Alto,D15,2018-01-20,20.375,24
Quilicura,D31,2018-01-20,14.416666666666666,24
Santiago,D13,2018-01-20,14.916666666666666,24
Las Condes,D14,2018-01-21,16.958333333333332,24
Pudahuel,D30,2018-01-21,13.166666666666666,24
Puente Alto,D15,2018-01-21,16.291666666666668,24
Quilicura,D31,2018-01-21,13.208333333333334,24
Santiago,D13,2018-01-21,13.666666666666666,24
Las Condes,D14,2018-01-22,17.666666666666668,24
Pudahuel,D30,2018-01-22,13.166666666666666,24
Puente Alto,D15,2018-01-22,17.833333333333332,24
Quilicura,D31,2018-01-22,18.166666666666668,24
Santiago,D13,2018-01-22,15.791666666666666,24
Las Condes,D14,2018-01-23,18.166666666666668,24
Pudahuel,D30,2018-01-23,16.375,24
Puente Alto,D15,2018-01-23,18.333333333333332,24
Quilicura,D31,2018-01-23,15.5,24
Santiago,D13,2018-01-23,16.583333333333332,24
Las Condes,D14,2018-01-24,14.791666666666666,24
Pudahuel,D30,2018-01-24,16.208333333333332,24
Puente Alto,D15,2018-01-24,19.125,24
Quilicura,D31,2018-01-24,17.416666666666668,24
Santiago,D13,2018-01-24,17.291666666666668,24
Las Condes,D14,2018-01-25,17.125,24
Pudahuel,D30,2018-01-25,16.083333333333332,24
Puente Alto,D15,2018-01-25,16.166666666666668,24
Quilicura,D31,2018-01-25,14.083333333333334,24
Santiago,D13,2018-01-25,17.958333333333332,24
Las Condes,D14,2018-01-26,17.0,24
Pudahuel,D30,2018-01-26,15.166666666666666,24
Puente Alto,D15,2018-01-26,17.083333333333332,24
Quilicura,D31,2018-01-26,14.083333333333334,24
Santiago,D13,2018-01-26,17.25,24
Las Condes,D14,2018-01-27,14.666666666666666,24
Pudahuel,D30,2018-01-27,15.791666666666666,24
Puente Alto,D15,2018-01-27,15.333333333333334,24
Quilicura,D31,2018-01-27,14.541666666666666,24
Santiago,D13,2018-01-27,16.833333333333332,24
Las Condes,D14,2018-01-28,11.75,24
Pudahuel,D30,2018-01-28,14.083333333333334,24
Puente Alto,D15,2018-01-28,13.833333333333334,24
Quilicura,D31,2018-01-28,12.125,24
Santiago,D13,2018-01-28,13.666666666666666,24
Las Condes,D14,2018-01-29,15.166666666666666,24
Pudahuel,D30,2018-01-29,13.916666666666666,24
Puente Alto,D15,2018-01-29,17.416666666666668,24
Quilicura,D31,2018-01-29,14.791666666666666,24
Santiago,D13,2018-01-29,17.666666666666668,24
Las Condes,D14,2018-01-30,17.5,24
Pudahuel,D30,2018-01-30,14.208333333333334,24
Puente Alto,D15,2018-01-30,17.666666666666668,24
Quilicura,D31,2018-01-30,14.166666666666666,24
Santiago,D13,2018-01-30,16.625,24
Las Condes,D14,2018-01-31,17.833333333333332,24
Pudahuel,D30,2018-01-31,15.583333333333334,24
Puente Alto,D15,2018-01-31,17.75,24
Quilicura,D31,2018-01-31,17.125,24
Santiago,D13,2018-01-31,18.166666666666668,24
Las Condes,D14,2018-02-01,19.25,24
Pudahuel,D30,2018-02-01,17.166666666666668,24
Puente Alto,D15,2018-02-01,27.416666666666668,24
Quilicura,D31,2018-02-01,17.416666666666668,24
Santiago,D13,2018-02-01,20.541666666666668,24
Las Condes,D14,2018-02-02,22.833333333333332,24
Pudahuel,D30,2018-02-02,20.541666666666668,24
Puente Alto,D15,2018-02-02,22.958333333333332,24
Quilicura,D31,2018-02-02,19.75,24
Santiago,D13,2018-02-02,23.869565217391305,23
Las Condes,D14,2018-02-03,22.583333333333332,24
Pudahuel,D30,2018-02-03,18.75,24
Puente Alto,D15,2018-02-03,21.0,24
Quilicura,D31,2018-02-03,20.125,24
Santiago,D13,2018-02-03,18.875,24
Las Condes,D14,2018-02-04,20.833333333333332,24
Pudahuel,D30,2018-02-04,16.166666666666668,24
Puente Alto,D15,2018-02-04,19.666666666666668,24
Quilicura,D31,2018-02-04,17.291666666666668,24
Santiago,D13,2018-02-04,17.208333333333332,24
Las Condes,D14,2018-02-05,17.166666666666668,24
Pudahuel,D30,2018-02-05,15.875,24
Puente Alto,D15,2018-02-05,16.875,24
Quilicura,D31,2018-02-05,14.625,24
Santiago,D13,2018-02-05,16.083333333333332,24
Las Condes,D14,2018-02-06,19.625,24
Pudahuel,D30,2018-02-06,15.416666666666666,24
Puente Alto,D15,2018-02-06,18.75,24
Quilicura,D31,2018-02-06,14.75,24
Santiago,D13,2018-02-06,18.375,24
Las Condes,D14,2018-02-07,17.333333333333332,24
Pudahuel,D30,2018-02-07,13.5,24
Puente Alto,D15,2018-02-07,17.5,24
Quilicura,D31,2018-02-07,13.125,24
Santiago,D13,2018-02-07,15.916666666666666,24
