FECHA (YYMMDD);HORA (HHMM);;
180101;0100;225,004;
180101;0200;242,817;
180101;0300;245,921;
180101;0400;259,904;
180101;0500;233,956;
180101;0600;251,581;
180101;0700;246,831;
180101;0800;226,992;
180101;0900;307,49;
180101;1000;30,3727;
180101;1100;189,103;
180101;1200;209,982;
180101;1300;212,024;
180101;1400;227,901;
180101;1500;221,497;
180101;1600;233,516;
180101;1700;218,796;
180101;1800;210,716;
180101;1900;197,033;
180101;2000;204,4;
180101;2100;198,198;
180101;2200;211,735;
180101;2300;212,905;
180102;0000;216,206;
180102;0100;222,883;
180102;0200;253,743;
180102;0300;228,675;
180102;0400;216,947;
180102;0500;196,981;
180102;0600;233,323;
180102;0700;249,62;
180102;0800;231,389;
180102;0900;297,67;
180102;1000;260,332;
180102;1100;222,288;
180102;1200;210,115;
180102;1300;215,133;
180102;1400;215,741;
180102;1500;227,606;
180102;1600;225,902;
180102;1700;216,458;
180102;1800;218,265;
180102;1900;214,452;
180102;2000;204,372;
180102;2100;218,424;
180102;2200;180,115;
180102;2300;180,541;
180103;0000;152,258;
180103;0100;154,266;
180103;0200;243,049;
180103;0300;232,265;
180103;0400;223,373;
180103;0500;167,853;
180103;0600;211,796;
180103;0700;275,277;
180103;0800;327,411;
180103;0900;357,767;
180103;1000;232,831;
180103;1100;216,271;
180103;1200;221,643;
180103;1300;209,832;
180103;1400;219,924;
180103;1500;218,982;
180103;1600;214,136;
180103;1700;225,67;
180103;1800;224,985;
180103;1900;214,246;
180103;2000;201,085;
180103;2100;210,869;
180103;2200;188,888;
180103;2300;192,652;
180104;0000;220,126;
180104;0100;241,278;
180104;0200;243,608;
180104;0300;244,124;
180104;0400;233,083;
180104;0500;234,92;
180104;0600;227,87;
180104;0700;230,051;
180104;0800;306,316;
180104;0900;270,416;
180104;1000;246,471;
180104;1100;224,034;
180104;1200;220,48;
180104;1300;221,398;
180104;1400;219,005;
180104;1500;226,969;
180104;1600;221,968;
180104;1700;222,342;
180104;1800;228,627;
180104;1900;199,026;
180104;2000;205,667;
180104;2100;201,2;
180104;2200;207,974;
180104;2300;212,214;
180105;0000;232,213;
180105;0100;227,179;
180105;0200;225,648;
180105;0300;217,444;
180105;0400;243,329;
180105;0500;237,407;
180105;0600;245,439;
180105;0700;199,359;
