FECHA (YYMMDD);HORA (HHMM);;
180101;0100;177,051;
180101;0200;186,31;
180101;0300;199,165;
180101;0400;209,01;
180101;0500;225,205;
180101;0600;197,232;
180101;0700;224,716;
180101;0800;310,02;
180101;0900;260,727;
180101;1000;238,299;
180101;1100;213,074;
180101;1200;206,994;
180101;1300;208,995;
180101;1400;228,112;
180101;1500;227,395;
180101;1600;240,107;
180101;1700;254,324;
180101;1800;220,169;
180101;1900;173,04;
180101;2000;181,507;
180101;2100;186,933;
180101;2200;190,841;
180101;2300;179,476;
180102;0000;177,011;
180102;0100;147,969;
180102;0200;276,082;
180102;0300;326,91;
180102;0400;227,033;
180102;0500;205,061;
180102;0600;200,652;
180102;0700;214,27;
180102;0800;295,091;
180102;0900;338,148;
180102;1000;237,73;
180102;1100;200,038;
180102;1200;212,767;
180102;1300;210,832;
180102;1400;200,698;
180102;1500;196,513;
180102;1600;220,068;
180102;1700;222,939;
180102;1800;227,738;
180102;1900;216,946;
180102;2000;173,997;
180102;2100;164,625;
180102;2200;173,812;
180102;2300;193,817;
180103;0000;215,664;
180103;0100;216,615;
180103;0200;193,961;
180103;0300;185,299;
180103;0400;167,748;
180103;0500;12,3211;
180103;0600;349,161;
180103;0700;349,81;
180103;0800;346,368;
180103;0900;333,028;
180103;1000;211,969;
180103;1100;209,931;
180103;1200;202,753;
180103;1300;211,928;
180103;1400;204,91;
180103;1500;189,388;
180103;1600;206,404;
180103;1700;224,071;
180103;1800;226,662;
180103;1900;223,14;
180103;2000;205,177;
180103;2100;169,67;
180103;2200;164,389;
180103;2300;171,777;
180104;0000;187,549;
180104;0100;194,776;
180104;0200;201,562;
180104;0300;179,412;
180104;0400;157,972;
180104;0500;155,725;
180104;0600;165,432;
180104;0700;224,712;
180104;0800;322,485;
180104;0900;349,263;
180104;1000;198,108;
180104;1100;202,521;
180104;1200;196,388;
180104;1300;206,988;
180104;1400;198,916;
180104;1500;226,931;
180104;1600;227,127;
180104;1700;224,02;
180104;1800;223,38;
180104;1900;216,975;
180104;2000;201,445;
180104;2100;167,387;
180104;2200;173,885;
180104;2300;192,603;
180105;0000;183,023;
180105;0100;185,925;
180105;0200;199,906;
180105;0300;189,712;
180105;0400;187,903;
180105;0500;226,145;
180105;0600;205,95;
180105;0700;203,893;
180105;0800;202,099;
180105;0900;197,516;
180105;1000;214,565;
180105;1100;197,535;
180105;1200;204,228;
180105;1300;208,827;
180105;1400;200,318;
180105;1500;207,741;
180105;1600;211,389;
180105;1700;225,833;
180105;1800;233,693;
180105;1900;223,456;
180105;2000;206,392;
180105;2100;200,778;
180105;2200;211,877;
180105;2300;205,119;
180106;0000;205,806;
180106;0100;215,414;
180106;0200;221,029;
180106;0300;203,373;
180106;0400;157,359;
180106;0500;13,3302;
180106;0600;151,94;
180106;0700;55,6165;
180106;0800;295,539;
180106;0900;250,94;
180106;1000;185,796;
180106;1100;208,343;
180106;1200;198,264;
180106;1300;205,751;
180106;1400;211,227;
180106;1500;209,058;
180106;1600;218,716;
180106;1700;221,465;
180106;1800;229,083;
180106;1900;219,289;
180106;2000;200,607;
180106;2100;206,369;
180106;2200;210,455;
180106;2300;219,309;
180107;0000;72,4677;
180107;0100;323,175;
180107;0200;345,107;
180107;0300;261,156;
180107;0400;321,407;
180107;0500;79,3579;
180107;0600;325,848;
180107;0700;208,481;
180107;0800;197,23;
180107;0900;194,757;
180107;1000;198,05;
180107;1100;204,876;
180107;1200;204,227;
180107;1300;202,302;
180107;1400;203,606;
180107;1500;193,733;
180107;1600;194,702;
180107;1700;203,557;
180107;1800;203,459;
180107;1900;197,518;
180107;2000;178,206;
180107;2100;179,338;
180107;2200;185,515;
180107;2300;186,608;
180108;0000;183,518;
180108;0100;189,438;
180108;0200;180,281;
180108;0300;194,353;
180108;0400;200,635;
180108;0500;194,279;
180108;0600;185,037;
180108;0700;199,251;
180108;0800;203,343;
180108;0900;196,744;
180108;1000;205,701;
180108;1100;208,887;
180108;1200;211,805;
180108;1300;201,412;
180108;1400;216,34;
180108;1500;209,762;
180108;1600;203,54;
180108;1700;201,138;
180108;1800;193,988;
180108;1900;191,397;
180108;2000;191,466;
180108;2100;177,543;
180108;2200;177,191;
180108;2300;185,532;
180109;0000;186,247;
180109;0100;177,092;
180109;0200;;
180109;0300;204,965;
180109;0400;186,376;
180109;0500;194,298;
180109;0600;185,819;
180109;0700;197,144;
180109;0800;217,735;
180109;0900;255,575;
180109;1000;206,811;
180109;1100;200,096;
180109;1200;205,336;
180109;1300;201,843;
180109;1400;204,092;
180109;1500;199,022;
180109;1600;218,538;
180109;1700;202,581;
180109;1800;202,724;
180109;1900;191,525;
180109;2000;187,02;
180109;2100;177,356;
180109;2200;180,551;
180109;2300;164,462;
180110;0000;170,49;
180110;0100;218,132;
180110;0200;199,07;
180110;0300;186,44;
180110;0400;190,402;
180110;0500;90,8311;
180110;0600;349,258;
180110;0700;339,143;
