FECHA (YYMMDD);HORA (HHMM);;
180101;0100;314,484;
180101;0200;279,718;
180101;0300;246,121;
180101;0400;245,212;
180101;0500;127,667;
180101;0600;119,026;
180101;0700;41,6876;
180101;0800;244,442;
180101;0900;306,937;
180101;1000;304,988;
180101;1100;260,482;
180101;1200;274,667;
180101;1300;267,368;
180101;1400;271,826;
180101;1500;276,573;
180101;1600;271,302;
180101;1700;272,834;
180101;1800;269,329;
180101;1900;263,489;
180101;2000;256,603;
180101;2100;252,072;
180101;2200;248,335;
180101;2300;278,541;
180102;0000;260,152;
180102;0100;245,107;
180102;0200;24,5435;
180102;0300;174,32;
180102;0400;169,054;
180102;0500;159,075;
180102;0600;157,787;
180102;0700;337,121;
180102;0800;311,43;
180102;0900;334,023;
180102;1000;274,853;
180102;1100;271,888;
180102;1200;246,157;
180102;1300;262,051;
180102;1400;264,509;
180102;1500;270,391;
180102;1600;273,402;
180102;1700;268,93;
180102;1800;270,548;
180102;1900;259,273;
180102;2000;271,383;
180102;2100;276,623;
180102;2200;259,591;
180102;2300;255,592;
180103;0000;246,011;
180103;0100;146,246;
180103;0200;137,703;
180103;0300;166,054;
180103;0400;142,206;
180103;0500;113,898;
180103;0600;92,2312;
180103;0700;58,503;
180103;0800;350,283;
180103;0900;263,932;
180103;1000;257,138;
180103;1100;254,604;
180103;1200;263,399;
180103;1300;265,396;
180103;1400;259,77;
180103;1500;267,976;
180103;1600;274,834;
180103;1700;268,419;
180103;1800;271,684;
180103;1900;267,338;
180103;2000;269,383;
180103;2100;302,923;
180103;2200;281,208;
180103;2300;189,757;
180104;0000;225,833;
180104;0100;61,7825;
180104;0200;141,054;
180104;0300;206,302;
180104;0400;153,516;
180104;0500;96,1559;
180104;0600;97,9347;
180104;0700;50,313;
180104;0800;6,80347;
180104;0900;332,572;
180104;1000;279,088;
180104;1100;268,88;
180104;1200;276,995;
180104;1300;260,621;
180104;1400;257,867;
180104;1500;266,558;
180104;1600;271,315;
180104;1700;269,441;
180104;1800;269,99;
180104;1900;276,34;
180104;2000;262,863;
180104;2100;272,92;
180104;2200;292,241;
180104;2300;233,185;
180105;0000;249,973;
180105;0100;277,143;
180105;0200;278,282;
180105;0300;271,756;
180105;0400;313,945;
180105;0500;334,445;
180105;0600;275,504;
180105;0700;263,613;
180105;0800;310,416;
180105;0900;345,602;
180105;1000;273,063;
180105;1100;267,951;
180105;1200;254,637;
180105;1300;251,444;
180105;1400;277,473;
180105;1500;265,852;
180105;1600;254,125;
180105;1700;246,893;
180105;1800;247,482;
180105;1900;253,783;
180105;2000;250,028;
180105;2100;146,595;
180105;2200;179,478;
180105;2300;221,639;
180106;0000;279,887;
180106;0100;180,401;
180106;0200;104,874;
180106;0300;110,8;
180106;0400;98,0706;
180106;0500;169,483;
180106;0600;186,023;
180106;0700;72,4644;
180106;0800;302,295;
180106;0900;286,147;
180106;1000;287,309;
180106;1100;271,375;
180106;1200;272,476;
180106;1300;263,952;
180106;1400;259,152;
180106;1500;256,965;
