FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180101;0100;7;;;
180101;0200;9;;;
180101;0300;11;;;
180101;0400;14;;;
180101;0500;14;;;
180101;0600;15;;;
180101;0700;15;;;
180101;0800;20;;;
180101;0900;18;;;
180101;1000;22;;;
180101;1100;15;;;
180101;1200;19;;;
180101;1300;8;;;
180101;1400;10;;;
180101;1500;10;;;
180101;1600;7;;;
180101;1700;10;;;
180101;1800;15;;;
180101;1900;17;;;
180101;2000;10;;;
180101;2100;11;;;
180101;2200;10;;;
180101;2300;12;;;
180102;0000;25;;;
180102;0100;8;;;
180102;0200;8;;;
180102;0300;10;;;
180102;0400;11;;;
180102;0500;15;;;
180102;0600;20;;;
180102;0700;30;;;
180102;0800;21;;;
180102;0900;23;;;
180102;1000;15;;;
180102;1100;16;;;
180102;1200;18;;;
180102;1300;13;;;
180102;1400;16;;;
180102;1500;16;;;
180102;1600;9;;;
180102;1700;;;;
180102;1800;13;;;
180102;1900;11;;;
180102;2000;13;;;
180102;2100;9;;;
180102;2200;7;;;
180102;2300;12;;;
180103;0000;10;;;
180103;0100;14;;;
180103;0200;14;;;
180103;0300;10;;;
180103;0400;13;;;
180103;0500;15;;;
180103;0600;18;;;
180103;0700;27;;;
180103;0800;17;;;
180103;0900;19;;;
180103;1000;15;;;
180103;1100;18;;;
180103;1200;10;;;
180103;1300;13;;;
180103;1400;10;;;
180103;1500;11;;;
180103;1600;10;;;
180103;1700;7;;;
180103;1800;10;;;
180103;1900;6;;;
180103;2000;9;;;
180103;2100;5;;;
180103;2200;2;;;
180103;2300;8;;;
180104;0000;9;;;
180104;0100;9;;;
180104;0200;10;;;
180104;0300;8;;;
180104;0400;5;;;
180104;0500;6;;;
180104;0600;15;;;
180104;0700;16;;;
180104;0800;12;;;
180104;0900;13;;;
180104;1000;8;;;
180104;1100;10;;;
180104;1200;13;;;
180104;1300;9;;;
180104;1400;5;;;
180104;1500;4;;;
180104;1600;15;;;
180104;1700;9;;;
180104;1800;6;;;
180104;1900;5;;;
180104;2000;12;;;
180104;2100;7;;;
180104;2200;4;;;
180104;2300;6;;;
180105;0000;5;;;
180105;0100;6;;;
180105;0200;4;;;
180105;0300;6;;;
180105;0400;7;;;
180105;0500;13;;;
180105;0600;9;;;
180105;0700;8;;;
180105;0800;19;;;
180105;0900;16;;;
180105;1000;25;;;
180105;1100;30;;;
180105;1200;9;;;
180105;1300;7;;;
180105;1400;6;;;
180105;1500;14;;;
180105;1600;14;;;
180105;1700;27;;;
180105;1800;16;;;
180105;1900;12;;;
180105;2000;10;;;
180105;2100;11;;;
180105;2200;9;;;
180105;2300;9;;;
180106;0000;12;;;
180106;0100;10;;;
180106;0200;10;;;
180106;0300;12;;;
180106;0400;13;;;
180106;0500;14;;;
180106;0600;16;;;
180106;0700;19;;;
180106;0800;16;;;
180106;0900;16;;;
180106;1000;11;;;
180106;1100;12;;;
180106;1200;8;;;
180106;1300;14;;;
180106;1400;11;;;
180106;1500;9;;;
180106;1600;7;;;
180106;1700;10;;;
180106;1800;8;;;
180106;1900;7;;;
180106;2000;11;;;
180106;2100;12;;;
180106;2200;20;;;
180106;2300;20;;;
180107;0000;22;;;
180107;0100;21;;;
180107;0200;16;;;
180107;0300;22;;;
180107;0400;20;;;
180107;0500;16;;;
180107;0600;24;;;
180107;0700;26;;;
180107;0800;28;;;
180107;0900;15;;;
180107;1000;17;;;
180107;1100;17;;;
180107;1200;19;;;
180107;1300;16;;;
180107;1400;16;;;
180107;1500;22;;;
180107;1600;18;;;
180107;1700;17;;;
180107;1800;13;;;
180107;1900;14;;;
180107;2000;14;;;
180107;2100;12;;;
180107;2200;14;;;
180107;2300;12;;;
180108;0000;12;;;
180108;0100;12;;;
180108;0200;9;;;
180108;0300;10;;;
180108;0400;9;;;
180108;0500;11;;;
180108;0600;13;;;
180108;0700;14;;;
180108;0800;14;;;
180108;0900;16;;;
180108;1000;19;;;
180108;1100;17;;;
180108;1200;21;;;
180108;1300;12;;;
180108;1400;16;;;
180108;1500;13;;;
180108;1600;14;;;
180108;1700;9;;;
180108;1800;10;;;
180108;1900;10;;;
180108;2000;12;;;
180108;2100;17;;;
180108;2200;8;;;
180108;2300;7;;;
180109;0000;7;;;
180109;0100;4;;;
180109;0200;7;;;
180109;0300;8;;;
180109;0400;6;;;
180109;0500;10;;;
180109;0600;15;;;
180109;0700;12;;;
180109;0800;14;;;
180109;0900;16;;;
180109;1000;14;;;
180109;1100;15;;;
180109;1200;10;;;
180109;1300;12;;;
180109;1400;15;;;
180109;1500;12;;;
180109;1600;10;;;
180109;1700;9;;;
180109;1800;8;;;
180109;1900;11;;;
180109;2000;8;;;
180109;2100;11;;;
180109;2200;10;;;
180109;2300;10;;;
180110;0000;9;;;
180110;0100;10;;;
180110;0200;13;;;
180110;0300;21;;;
180110;0400;43;;;
180110;0500;41;;;
180110;0600;37;;;
180110;0700;31;;;
180110;0800;30;;;
180110;0900;25;;;
180110;1000;28;;;
180110;1100;34;;;
180110;1200;32;;;
180110;1300;26;;;
180110;1400;14;;;
180110;1500;14;;;
180110;1600;18;;;
180110;1700;15;;;
180110;1800;14;;;
180110;1900;15;;;
180110;2000;16;;;
180110;2100;12;;;
180110;2200;15;;;
180110;2300;14;;;
180111;0000;14;;;
180111;0100;16;;;
180111;0200;15;;;
180111;0300;11;;;
180111;0400;15;;;
180111;0500;14;;;
180111;0600;18;;;
180111;0700;20;;;
180111;0800;23;;;
180111;0900;27;;;
180111;1000;25;;;
180111;1100;29;;;
180111;1200;19;;;
180111;1300;17;;;
180111;1400;21;;;
180111;1500;18;;;
180111;1600;15;;;
180111;1700;13;;;
180111;1800;14;;;
180111;1900;20;;;
180111;2000;15;;;
180111;2100;12;;;
180111;2200;15;;;
180111;2300;16;;;
180112;0000;11;;;
180112;0100;10;;;
180112;0200;10;;;
180112;0300;8;;;
180112;0400;8;;;
180112;0500;14;;;
180112;0600;14;;;
180112;0700;16;;;
180112;0800;22;;;
180112;0900;25;;;
180112;1000;23;;;
180112;1100;21;;;
180112;1200;16;;;
180112;1300;15;;;
180112;1400;17;;;
180112;1500;13;;;
180112;1600;17;;;
180112;1700;12;;;
180112;1800;10;;;
180112;1900;12;;;
180112;2000;10;;;
180112;2100;11;;;
180112;2200;11;;;
180112;2300;11;;;
180113;0000;12;;;
180113;0100;12;;;
180113;0200;12;;;
180113;0300;11;;;
180113;0400;14;;;
180113;0500;19;;;
180113;0600;16;;;
180113;0700;18;;;
180113;0800;19;;;
180113;0900;16;;;
180113;1000;22;;;
180113;1100;20;;;
180113;1200;19;;;
180113;1300;18;;;
180113;1400;23;;;
180113;1500;11;;;
180113;1600;10;;;
180113;1700;12;;;
180113;1800;13;;;
180113;1900;14;;;
180113;2000;12;;;
180113;2100;16;;;
180113;2200;17;;;
180113;2300;12;;;
180114;0000;15;;;
180114;0100;10;;;
180114;0200;12;;;
180114;0300;15;;;
180114;0400;16;;;
180114;0500;12;;;
180114;0600;16;;;
180114;0700;14;;;
180114;0800;18;;;
180114;0900;12;;;
180114;1000;15;;;
180114;1100;19;;;
180114;1200;17;;;
180114;1300;16;;;
180114;1400;21;;;
180114;1500;24;;;
180114;1600;17;;;
180114;1700;15;;;
180114;1800;14;;;
180114;1900;13;;;
180114;2000;24;;;
180114;2100;10;;;
180114;2200;12;;;
