FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180101;0100;11;;;
180101;0200;15;;;
180101;0300;14;;;
180101;0400;16;;;
180101;0500;19;;;
180101;0600;13;;;
180101;0700;18;;;
180101;0800;12;;;
180101;0900;17;;;
180101;1000;19;;;
180101;1100;21;;;
180101;1200;14;;;
180101;1300;12;;;
180101;1400;12;;;
180101;1500;12;;;
180101;1600;11;;;
180101;1700;18;;;
180101;1800;12;;;
180101;1900;8;;;
180101;2000;10;;;
180101;2100;11;;;
180101;2200;12;;;
180101;2300;9;;;
180102;0000;13;;;
180102;0100;21;;;
180102;0200;13;;;
180102;0300;16;;;
180102;0400;17;;;
180102;0500;11;;;
180102;0600;23;;;
180102;0700;17;;;
180102;0800;13;;;
180102;0900;12;;;
180102;1000;14;;;
180102;1100;15;;;
180102;1200;11;;;
180102;1300;;;;
180102;1400;8;;;
180102;1500;11;;;
180102;1600;11;;;
180102;1700;7;;;
180102;1800;7;;;
180102;1900;15;;;
180102;2000;11;;;
180102;2100;7;;;
180102;2200;7;;;
180102;2300;8;;;
180103;0000;11;;;
180103;0100;14;;;
180103;0200;12;;;
180103;0300;10;;;
180103;0400;9;;;
180103;0500;11;;;
180103;0600;18;;;
180103;0700;26;;;
180103;0800;16;;;
180103;0900;15;;;
180103;1000;17;;;
180103;1100;17;;;
180103;1200;8;;;
180103;1300;6;;;
180103;1400;6;;;
180103;1500;5;;;
180103;1600;9;;;
180103;1700;10;;;
180103;1800;11;;;
180103;1900;9;;;
180103;2000;8;;;
180103;2100;6;;;
180103;2200;4;;;
180103;2300;4;;;
180104;0000;3;;;
180104;0100;4;;;
180104;0200;6;;;
180104;0300;3;;;
180104;0400;3;;;
180104;0500;6;;;
180104;0600;13;;;
180104;0700;7;;;
180104;0800;6;;;
180104;0900;13;;;
180104;1000;10;;;
180104;1100;12;;;
180104;1200;7;;;
180104;1300;7;;;
180104;1400;3;;;
180104;1500;3;;;
180104;1600;5;;;
180104;1700;4;;;
180104;1800;3;;;
180104;1900;5;;;
180104;2000;6;;;
180104;2100;6;;;
180104;2200;16;;;
180104;2300;5;;;
180105;0000;6;;;
180105;0100;6;;;
180105;0200;5;;;
180105;0300;3;;;
180105;0400;2;;;
180105;0500;4;;;
180105;0600;8;;;
180105;0700;8;;;
180105;0800;7;;;
180105;0900;12;;;
180105;1000;14;;;
180105;1100;11;;;
180105;1200;10;;;
180105;1300;8;;;
