FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180101;0100;13;;;
180101;0200;14;;;
180101;0300;12;;;
180101;0400;17;;;
180101;0500;17;;;
180101;0600;18;;;
180101;0700;23;;;
180101;0800;20;;;
180101;0900;24;;;
180101;1000;22;;;
180101;1100;18;;;
180101;1200;7;;;
180101;1300;8;;;
180101;1400;8;;;
180101;1500;7;;;
180101;1600;7;;;
180101;1700;9;;;
180101;1800;9;;;
180101;1900;12;;;
180101;2000;13;;;
180101;2100;9;;;
180101;2200;9;;;
180101;2300;13;;;
180102;0000;14;;;
180102;0100;12;;;
180102;0200;8;;;
180102;0300;12;;;
180102;0400;14;;;
180102;0500;14;;;
180102;0600;14;;;
180102;0700;18;;;
180102;0800;16;;;
180102;0900;9;;;
180102;1000;14;;;
180102;1100;14;;;
180102;1200;11;;;
180102;1300;7;;;
180102;1400;9;;;
180102;1500;9;;;
180102;1600;11;;;
180102;1700;10;;;
180102;1800;9;;;
180102;1900;10;;;
180102;2000;10;;;
180102;2100;11;;;
180102;2200;11;;;
180102;2300;9;;;
180103;0000;11;;;
180103;0100;9;;;
180103;0200;9;;;
180103;0300;8;;;
180103;0400;8;;;
180103;0500;12;;;
180103;0600;13;;;
180103;0700;12;;;
180103;0800;15;;;
180103;0900;19;;;
180103;1000;17;;;
180103;1100;13;;;
180103;1200;10;;;
180103;1300;9;;;
180103;1400;10;;;
180103;1500;9;;;
180103;1600;10;;;
180103;1700;25;;;
180103;1800;11;;;
180103;1900;11;;;
180103;2000;8;;;
180103;2100;7;;;
180103;2200;6;;;
180103;2300;8;;;
180104;0000;15;;;
180104;0100;10;;;
180104;0200;10;;;
180104;0300;15;;;
180104;0400;13;;;
180104;0500;14;;;
180104;0600;18;;;
180104;0700;15;;;
180104;0800;11;;;
180104;0900;12;;;
180104;1000;14;;;
180104;1100;15;;;
180104;1200;13;;;
180104;1300;8;;;
180104;1400;2;;;
180104;1500;4;;;
180104;1600;6;;;
180104;1700;12;;;
180104;1800;7;;;
180104;1900;5;;;
180104;2000;7;;;
180104;2100;5;;;
180104;2200;6;;;
180104;2300;6;;;
180105;0000;9;;;
180105;0100;8;;;
180105;0200;7;;;
180105;0300;6;;;
180105;0400;6;;;
180105;0500;6;;;
180105;0600;7;;;
180105;0700;13;;;
180105;0800;9;;;
180105;0900;8;;;
180105;1000;14;;;
180105;1100;12;;;
180105;1200;9;;;
180105;1300;11;;;
180105;1400;6;;;
180105;1500;10;;;
180105;1600;12;;;
180105;1700;10;;;
180105;1800;12;;;
180105;1900;13;;;
180105;2000;11;;;
180105;2100;9;;;
180105;2200;9;;;
180105;2300;15;;;
180106;0000;21;;;
180106;0100;19;;;
180106;0200;15;;;
180106;0300;14;;;
180106;0400;13;;;
180106;0500;15;;;
180106;0600;17;;;
180106;0700;12;;;
180106;0800;10;;;
180106;0900;15;;;
180106;1000;18;;;
180106;1100;14;;;
180106;1200;29;;;
180106;1300;42;;;
180106;1400;14;;;
180106;1500;9;;;
180106;1600;8;;;
180106;1700;10;;;
180106;1800;8;;;
180106;1900;7;;;
180106;2000;9;;;
180106;2100;23;;;
180106;2200;22;;;
180106;2300;17;;;
180107;0000;21;;;
180107;0100;13;;;
180107;0200;9;;;
180107;0300;12;;;
180107;0400;11;;;
180107;0500;9;;;
180107;0600;12;;;
180107;0700;14;;;
180107;0800;22;;;
180107;0900;19;;;
180107;1000;16;;;
180107;1100;13;;;
180107;1200;19;;;
180107;1300;14;;;
