FECHA (YYMMDD);HORA (HHMM);;
180101;0100;15,725;
180101;0200;15,1333;
180101;0300;14,825;
180101;0400;13,9262;
180101;0500;13,6678;
180101;0600;14,8426;
180101;0700;16,9167;
180101;0800;19,025;
180101;0900;20,725;
180101;1000;22,6333;
180101;1100;24,3167;
180101;1200;25,975;
180101;1300;26,9583;
180101;1400;27,1333;
180101;1500;26,8167;
180101;1600;25,9917;
180101;1700;24,825;
180101;1800;23,8333;
180101;1900;21,2083;
180101;2000;19,9;
180101;2100;18,5833;
180101;2200;17,4167;
180101;2300;17,2;
180102;0000;16,2083;
180102;0100;15,6917;
180102;0200;15,4167;
180102;0300;14,825;
180102;0400;14,09;
180102;0500;13,467;
180102;0600;14,1335;
180102;0700;17,8;
180102;0800;20,75;
180102;0900;22,175;
180102;1000;24,0333;
180102;1100;25,925;
180102;1200;27,2667;
180102;1300;27,95;
180102;1400;28,5;
180102;1500;28,3167;
180102;1600;27,9833;
180102;1700;26,8333;
180102;1800;25,7917;
180102;1900;23,6696;
180102;2000;21,2667;
180102;2100;19,9167;
180102;2200;17,975;
180102;2300;17,325;
180103;0000;16,1678;
180103;0100;15,5167;
180103;0200;14,975;
180103;0300;14,8583;
180103;0400;14,6667;
180103;0500;14,3365;
180103;0600;15,5447;
180103;0700;19,5833;
180103;0800;21,675;
180103;0900;23,4833;
180103;1000;25,6833;
180103;1100;27,15;
180103;1200;28,4;
180103;1300;29,3;
180103;1400;29,6917;
180103;1500;29,7083;
180103;1600;29,6;
180103;1700;29,475;
180103;1800;28,3583;
180103;1900;25,5583;
180103;2000;22,6;
180103;2100;20,575;
180103;2200;19,1667;
180103;2300;18,4167;
180104;0000;17,6569;
180104;0100;17,2398;
180104;0200;16,7978;
180104;0300;16,1975;
180104;0400;15,1527;
180104;0500;15,1358;
180104;0600;15,7857;
180104;0700;19,4333;
180104;0800;21,2;
180104;0900;23,5;
180104;1000;24,6917;
180104;1100;26,825;
180104;1200;28,15;
180104;1300;28,8583;
180104;1400;29,7167;
180104;1500;30,0917;
180104;1600;29,3667;
180104;1700;27,5417;
180104;1800;25,4417;
180104;1900;22,95;
180104;2000;20,9667;
180104;2100;19,5;
180104;2200;18,4061;
180104;2300;18,1474;
180105;0000;16,7304;
180105;0100;16,655;
180105;0200;16,9129;
180105;0300;16,671;
180105;0400;16,3929;
180105;0500;16,1368;
180105;0600;16,2365;
180105;0700;17,5779;
180105;0800;18,7083;
180105;0900;20,8083;
180105;1000;22,5833;
180105;1100;24,4;
180105;1200;25,8;
180105;1300;26,7333;
180105;1400;27,5333;
180105;1500;27,8417;
180105;1600;28,0083;
180105;1700;27,4583;
180105;1800;26,4;
180105;1900;24,7583;
180105;2000;23,1917;
180105;2100;21,7667;
180105;2200;19,975;
180105;2300;18,7583;
180106;0000;18,5333;
180106;0100;17,1;
180106;0200;16,6417;
180106;0300;16,2279;
180106;0400;15,718;
180106;0500;15,7261;
180106;0600;16,1417;
180106;0700;19,85;
180106;0800;22,3583;
180106;0900;24,575;
180106;1000;26,1083;
180106;1100;27,6833;
180106;1200;29,0083;
180106;1300;30,375;
180106;1400;31,5917;
180106;1500;32,025;
180106;1600;32,1167;
180106;1700;31,725;
180106;1800;30,475;
180106;1900;28,2583;
180106;2000;25,6833;
180106;2100;22,8333;
180106;2200;22,4;
180106;2300;21,125;
180107;0000;20,6083;
180107;0100;19,7;
180107;0200;18,2417;
180107;0300;17,725;
180107;0400;17,9083;
180107;0500;16,6583;
180107;0600;17,6917;
180107;0700;22,05;
180107;0800;23,9083;
180107;0900;25,25;
180107;1000;27,1417;
180107;1100;27,9833;
180107;1200;28,4417;
180107;1300;28,675;
180107;1400;28,4083;
180107;1500;28,5833;
180107;1600;28,1417;
180107;1700;27,2917;
180107;1800;25,7917;
180107;1900;23,4583;
180107;2000;21,3917;
180107;2100;19,975;
180107;2200;18,8333;
180107;2300;18;
180108;0000;17,2667;
180108;0100;16,6667;
180108;0200;15,9335;
180108;0300;15,5167;
180108;0400;14,9917;
180108;0500;14,55;
180108;0600;15,125;
180108;0700;17,35;
180108;0800;18,725;
180108;0900;20,425;
180108;1000;;
180108;1100;24,7444;
180108;1200;26,2333;
180108;1300;27,6;
180108;1400;28,2;
180108;1500;28,025;
180108;1600;27,3917;
180108;1700;26,6167;
180108;1800;24,95;
180108;1900;23,2667;
180108;2000;21,3594;
180108;2100;19,6507;
180108;2200;18,4337;
180108;2300;17,575;
180109;0000;16,7986;
180109;0100;16,3982;
180109;0200;16,4729;
180109;0300;15,6779;
180109;0400;15,061;
180109;0500;15,1275;
180109;0600;15,6524;
180109;0700;17,3294;
180109;0800;19,6873;
180109;0900;21,5204;
180109;1000;23,3;
180109;1100;24,975;
180109;1200;27,1917;
180109;1300;28,0917;
180109;1400;28,8333;
180109;1500;28,9333;
180109;1600;28,8583;
180109;1700;27,1333;
180109;1800;26,0833;
180109;1900;24,3083;
180109;2000;22,4236;
180109;2100;20,9565;
180109;2200;19,7644;
180109;2300;18,9141;
180110;0000;17,6804;
180110;0100;17,8967;
180110;0200;17,2047;
180110;0300;16,4626;
180110;0400;16,9372;
180110;0500;16,5869;
180110;0600;16,9449;
180110;0700;20,0779;
180110;0800;21,9025;
180110;0900;23,8272;
180110;1000;25,975;
180110;1100;27,875;
180110;1200;29,2167;
180110;1300;30,0333;
180110;1400;29,6417;
180110;1500;29;
180110;1600;27,9583;
180110;1700;26,6583;
180110;1800;25,4083;
180110;1900;23,3167;
180110;2000;21,575;
180110;2100;20,6083;
180110;2200;19,5;
180110;2300;18,646;
180111;0000;18,2623;
180111;0100;17,8286;
180111;0200;16,8949;
180111;0300;16,4946;
180111;0400;15,8846;
180111;0500;15,4911;
180111;0600;16,8268;
180111;0700;19,3917;
180111;0800;20,6083;
180111;0900;22,9917;
180111;1000;24,9583;
180111;1100;27,0167;
180111;1200;28,05;
180111;1300;28,9833;
180111;1400;29;
180111;1500;28,8583;
180111;1600;28,1167;
180111;1700;26,9917;
180111;1800;25,6167;
180111;1900;23,5917;
180111;2000;21,675;
180111;2100;20,225;
180111;2200;19,2282;
180111;2300;18,9112;
180112;0000;18,1275;
180112;0100;17,2688;
180112;0200;16,6185;
180112;0300;16,7181;
180112;0400;15,8838;
180112;0500;15,7253;
180112;0600;16,417;
180112;0700;18,8083;
180112;0800;21,1917;
180112;0900;22,4667;
180112;1000;24,0167;
180112;1100;25,7182;
180112;1200;27,0833;
180112;1300;27,4417;
180112;1400;26,7583;
180112;1500;26,6333;
180112;1600;25,4417;
180112;1700;24,7333;
180112;1800;23,925;
180112;1900;21,675;
180112;2000;20,1333;
180112;2100;19,225;
180112;2200;18,5818;
180112;2300;18,1417;
180113;0000;17,5594;
180113;0100;17,2007;
180113;0200;16,7837;
180113;0300;16,6417;
180113;0400;16,4251;
180113;0500;16,2065;
180113;0600;17,0395;
180113;0700;17,9726;
180113;0800;18,975;
180113;0900;19,5583;
180113;1000;21,05;
180113;1100;22,525;
180113;1200;23,2167;
180113;1300;24,1833;
180113;1400;24,6917;
180113;1500;24,4583;
180113;1600;24,4;
180113;1700;24,1417;
180113;1800;23,5583;
180113;1900;22,375;
180113;2000;20,7583;
180113;2100;19,6833;
180113;2200;18,6671;
180113;2300;18,15;
180114;0000;17,2486;
180114;0100;16,8148;
180114;0200;16,5812;
180114;0300;15,9279;
180114;0400;14,961;
180114;0500;14,6025;
180114;0600;15,3274;
180114;0700;18,5167;
180114;0800;20,225;
180114;0900;21,5417;
180114;1000;23,2083;
180114;1100;24,4417;
180114;1200;24,2833;
180114;1300;23,6417;
180114;1400;25,15;
180114;1500;25,9583;
180114;1600;24,65;
180114;1700;23,6417;
180114;1800;22,2083;
180114;1900;20,025;
180114;2000;18,4333;
180114;2100;17,3417;
180114;2200;16,2417;
180114;2300;16,2167;
180115;0000;15,475;
180115;0100;15,3608;
180115;0200;15,2;
180115;0300;15,3417;
180115;0400;15,202;
180115;0500;14,7518;
180115;0600;14,9016;
180115;0700;15,0515;
180115;0800;15,318;
180115;0900;16,1083;
180115;1000;16,8333;
180115;1100;18,2083;
180115;1200;20,8333;
180115;1300;22,5833;
180115;1400;23,075;
180115;1500;23,1833;
180115;1600;22,95;
180115;1700;23,175;
180115;1800;22,1583;
180115;1900;20,1083;
180115;2000;18,2833;
180115;2100;16,9417;
180115;2200;15,7357;
180115;2300;15,4083;
180116;0000;15,427;
180116;0100;14,5268;
180116;0200;14,0433;
180116;0300;13,7681;
180116;0400;13,6763;
180116;0500;13,1344;
180116;0600;13,1592;
180116;0700;15,025;
180116;0800;15,4;
180116;0900;17,3417;
180116;1000;19,725;
180116;1100;22,7833;
180116;1200;24,475;
180116;1300;25,925;
180116;1400;27,1833;
180116;1500;27,5583;
180116;1600;26,9;
180116;1700;25,6;
180116;1800;23,6;
180116;1900;21,6417;
180116;2000;19,3583;
180116;2100;18,1417;
180116;2200;17,2167;
180116;2300;15,9847;
180117;0000;15,6929;
180117;0100;15,1511;
180117;0200;14,7417;
180117;0300;13,7424;
180117;0400;13,8088;
180117;0500;13,5586;
180117;0600;13,5752;
180117;0700;18,3917;
180117;0800;20,45;
180117;0900;21,4917;
180117;1000;23,4167;
180117;1100;24,975;
180117;1200;26,7333;
180117;1300;27,95;
180117;1400;29,0833;
180117;1500;29,4833;
180117;1600;29,7;
180117;1700;29,0667;
180117;1800;27,7833;
180117;1900;25,5333;
180117;2000;22,875;
180117;2100;21,0917;
180117;2200;18,8435;
180117;2300;17,8015;
180118;0000;17,975;
180118;0100;17,0583;
180118;0200;16,4417;
180118;0300;16,225;
180118;0400;15,7;
180118;0500;14,97;
180118;0600;15,8364;
180118;0700;19,475;
180118;0800;21,7833;
180118;0900;23,4583;
180118;1000;25,4583;
180118;1100;27,1294;
180118;1200;28,8123;
180118;1300;29,9537;
180118;1400;30,8283;
180118;1500;31,0196;
180118;1600;30,8943;
180118;1700;29,6939;
