FECHA (YYMMDD);HORA (HHMM);;
180101;0100;15,2268;
180101;0200;14,7433;
180101;0300;14,1681;
180101;0400;13,7679;
180101;0500;13,2678;
180101;0600;14,4259;
180101;0700;17,5848;
180101;0800;19,6428;
180101;0900;22,7007;
180101;1000;24,7837;
180101;1100;26,6333;
180101;1200;27,7819;
180101;1300;28,0065;
180101;1400;28,2645;
180101;1500;27,9558;
180101;1600;27,5221;
180101;1700;25,5801;
180101;1800;23,0297;
180101;1900;21,0293;
180101;2000;20,0457;
180101;2100;19,1953;
180101;2200;18,1199;
180101;2300;16,9446;
180102;0000;15,7762;
180102;0100;14,9094;
180102;0200;14,51;
180102;0300;14,1174;
180102;0400;13,4838;
180102;0500;13,367;
180102;0600;14,8585;
180102;0700;18,5167;
180102;0800;20,232;
180102;0900;23,4733;
180102;1000;26,3395;
180102;1100;27,7726;
180102;1200;28,7972;
180102;1300;29,2468;
180102;1400;29,723;
180102;1500;29,5127;
180102;1600;28,9957;
180102;1700;27,9454;
180102;1800;26,545;
180102;1900;23,9279;
180102;2000;21,1943;
180102;2100;19,3439;
180102;2200;18,6351;
180102;2300;18,0432;
180103;0000;17,4344;
180103;0100;17,3757;
180103;0200;15,6585;
180103;0300;14,3583;
180103;0400;13,7534;
180103;0500;13,645;
180103;0600;16,2645;
180103;0700;20,4225;
180103;0800;23,1638;
180103;0900;25,8301;
180103;1000;27,6298;
180103;1100;28,4377;
180103;1200;29,904;
180103;1300;30,312;
180103;1400;31,2533;
180103;1500;31,4946;
180103;1600;31,5526;
180103;1700;30,7689;
180103;1800;29,0351;
180103;1900;25,5098;
180103;2000;22,7178;
180103;2100;21,3174;
180103;2200;20,4337;
180103;2300;19,5083;
180104;0000;18,7569;
180104;0100;18,0315;
180104;0200;17,1395;
180104;0300;15,8446;
180104;0400;14,8777;
180104;0500;14,5692;
180104;0600;16,0714;
180104;0700;19,6294;
180104;0800;22,1873;
180104;0900;24,862;
180104;1000;27,295;
180104;1100;28,8862;
180104;1200;29,4276;
180104;1300;30,5272;
180104;1400;31,8268;
180104;1500;31,4265;
180104;1600;29,6928;
180104;1700;28,1007;
180104;1800;25,5754;
180104;1900;23,6167;
180104;2000;21,0236;
180104;2100;19,6398;
180104;2200;18,7479;
180104;2300;17,7641;
180105;0000;17,1554;
180105;0100;16,7634;
180105;0200;16,463;
180105;0300;16,3043;
180105;0400;16,0457;
180105;0500;15,4851;
180105;0600;15,7183;
180105;0700;16,8029;
180105;0800;19,5026;
180105;0900;22,2272;
180105;1000;24,4351;
180105;1100;25,5348;
180105;1200;27,1928;
180105;1300;27,984;
180105;1400;28,9921;
180105;1500;29,65;
180105;1600;29,5986;
180105;1700;29,0232;
180105;1800;27,8979;
180105;1900;25,8141;
180105;2000;24,0887;
