FECHA (YYMMDD);HORA (HHMM);;
180101;0100;17,7218;
180101;0200;17,4365;
180101;0300;16,5446;
180101;0400;15,5762;
180101;0500;15,4261;
180101;0600;16,5851;
180101;0700;19,4098;
180101;0800;21,9511;
180101;0900;24,3924;
180101;1000;26,5171;
180101;1100;27,9333;
180101;1200;29,2652;
180101;1300;29,9732;
180101;1400;30,2395;
180101;1500;29,6391;
180101;1600;28,8971;
180101;1700;28,1468;
180101;1800;26,7547;
180101;1900;24,5793;
180101;2000;22,7623;
180101;2100;21,5286;
180101;2200;20,3199;
180101;2300;19,4779;
180102;0000;18,2858;
180102;0100;17,7354;
180102;0200;17,3685;
180102;0300;17,0264;
180102;0400;16,6677;
180102;0500;16,5007;
180102;0600;17,067;
180102;0700;19,8333;
180102;0800;22,6819;
180102;0900;25,1899;
180102;1000;27,7812;
180102;1100;28,9892;
180102;1200;30,0305;
180102;1300;30,6218;
180102;1400;31,4965;
180102;1500;31,8044;
180102;1600;30,9207;
180102;1700;29,9537;
180102;1800;28,67;
180102;1900;26,6612;
180102;2000;24,2526;
180102;2100;22,7605;
180102;2200;21,9851;
180102;2300;21,4098;
180103;0000;19,9344;
180103;0100;18,6257;
180103;0200;17,9337;
180103;0300;17,5667;
180103;0400;17,0486;
180103;0500;16,8398;
180103;0600;18,9145;
180103;0700;21,2392;
180103;0800;24,2472;
180103;0900;27,4134;
180103;1000;29,2715;
180103;1100;29,9711;
180103;1200;31,379;
180103;1300;32,3906;
180103;1400;33,2233;
180103;1500;33,3423;
180103;1600;33,0634;
180103;1700;32,5711;
180103;1800;31,0851;
180103;1900;28,2598;
180103;2000;25,7178;
180103;2100;24,784;
180103;2200;23,7087;
180103;2300;22,5083;
180104;0000;21,9069;
180104;0100;20,6315;
180104;0200;19,2062;
180104;0300;18,4641;
180104;0400;18,3137;
180104;0500;17,9634;
180104;0600;18,963;
180104;0700;21,2544;
180104;0800;23,6373;
180104;0900;26,1537;
180104;1000;28,6533;
180104;1100;30,1779;
180104;1200;31,1443;
180104;1300;32,2294;
180104;1400;33,137;
180104;1500;33,3279;
180104;1600;31,7844;
180104;1700;29,934;
180104;1800;27,5004;
180104;1900;26,375;
180104;2000;24,0652;
180104;2100;22,9732;
180104;2200;22,1395;
180104;2300;20,7308;
180105;0000;19,9721;
180105;0100;19,8218;
180105;0200;19,1797;
180105;0300;18,9376;
180105;0400;18,679;
180105;0500;18,2786;
180105;0600;18,5116;
180105;0700;18,8779;
180105;0800;20,8193;
180105;0900;23,2022;
180105;1000;25,3435;
180105;1100;27,0682;
180105;1200;28,8511;
180105;1300;29,659;
180105;1400;30,7921;
180105;1500;31,4083;
180105;1600;31,4652;
180105;1700;30,8398;
180105;1800;30,2145;
180105;1900;28,7641;
180105;2000;26,7304;
180105;2100;25,3634;
180105;2200;24,738;
180105;2300;23,946;
180106;0000;22,7873;
180106;0100;21,6703;
180106;0200;20,7865;
180106;0300;19,9112;
180106;0400;19,2525;
180106;0500;18,5854;
180106;0600;20,3935;
180106;0700;22,8598;
180106;0800;25,0428;
180106;0900;27,5257;
180106;1000;29,3337;
180106;1100;30,85;
180106;1200;32,2305;
180106;1300;33,938;
180106;1400;35,0123;
180106;1500;35,8033;
180106;1600;35,5942;
180106;1700;35,2184;
180106;1800;34,0677;
180106;1900;32,1587;
180106;2000;29,729;
180106;2100;28,6453;
180106;2200;27,3532;
180106;2300;25,6779;
180107;0000;24,5775;
180107;0100;23,4438;
180107;0200;22,4768;
180107;0300;21,6097;
180107;0400;20,9177;
180107;0500;19,9507;
180107;0600;21,367;
180107;0700;24,625;
180107;0800;25,7487;
180107;0900;26,7899;
180107;1000;28,0979;
180107;1100;29,2392;
180107;1200;30,1888;
180107;1300;30,6718;
180107;1400;31,1465;
180107;1500;31,3711;
180107;1600;31,1207;
180107;1700;29,9537;
180107;1800;27,895;
180107;1900;25,8696;
180107;2000;23,6276;
180107;2100;21,9439;
180107;2200;20,8185;
180107;2300;19,8932;
180108;0000;19,0761;
180108;0100;18,559;
180108;0200;18,2504;
180108;0300;17,9;
180108;0400;17,5819;
180108;0500;17,3232;
180108;0600;18,0812;
180108;0700;19,5892;
180108;0800;21,1472;
180108;0900;23,4968;
180108;1000;25,5464;
180108;1100;27,6627;
180108;1200;29,3207;
180108;1300;30,537;
180108;1400;30,7783;
180108;1500;31,2612;
180108;1600;30,6693;
180108;1700;28,7939;
180108;1800;27,0935;
180108;1900;25,2348;
180108;2000;22,8844;
180108;2100;21,1007;
180108;2200;19,8837;
180108;2300;19,25;
180109;0000;18,5983;
180109;0100;18,3667;
180109;0200;;
180109;0300;17,7;
180109;0400;17,2917;
180109;0500;16,8333;
180109;0600;17,6083;
180109;0700;19,5583;
180109;0800;21,2583;
180109;0900;24,3417;
180109;1000;26,5833;
180109;1100;28,025;
180109;1200;29,9167;
180109;1300;31,15;
180109;1400;32,0167;
180109;1500;32,25;
180109;1600;31,75;
180109;1700;31,0101;
180109;1800;29,9333;
180109;1900;27,3833;
180109;2000;24,8486;
180109;2100;23,2732;
180109;2200;22,1311;
180109;2300;21,6641;
180110;0000;21,3637;
180110;0100;20,98;
180110;0200;19,538;
180110;0300;19,0543;
180110;0400;19,0289;
180110;0500;18,8369;
180110;0600;20,2115;
180110;0700;22,1529;
180110;0800;24,8358;
180110;0900;27,0022;
180110;1000;29,0435;
180110;1100;30,3098;
180110;1200;31,4094;
180110;1300;33,0515;
180110;1400;32,684;
180110;1500;31,7583;
180110;1600;30,9486;
180110;1700;29,5065;
180110;1800;28,0395;
180110;1900;25,6308;
180110;2000;23,7554;
180110;2100;22,5134;
180110;2200;21,5964;
180110;2300;20,8876;
180111;0000;19,7457;
180111;0100;18,9453;
180111;0200;18,8365;
180111;0300;18,5196;
180111;0400;17,2358;
180111;0500;16,2438;
180111;0600;17,1018;
180111;0700;18,6598;
180111;0800;21,1261;
180111;0900;24,0507;
180111;1000;26,6921;
180111;1100;28,525;
180111;1200;29,5402;
180111;1300;30,0815;
180111;1400;30,7729;
180111;1500;30,3558;
180111;1600;29,8637;
180111;1700;28,6968;
180111;1800;27,3964;
180111;1900;24,9876;
180111;2000;23,1123;
180111;2100;21,9286;
180111;2200;21,0699;
180111;2300;20,3862;
180112;0000;19,3525;
180112;0100;18,9271;
180112;0200;18,3935;
180112;0300;17,7681;
180112;0400;17,2177;
180112;0500;16,6007;
180112;0600;16,9003;
180112;0700;17,9417;
180112;0800;18,957;
180112;0900;21,7899;
180112;1000;24,2312;
180112;1100;26,8309;
180112;1200;28,1722;
180112;1300;28,2551;
180112;1400;29,0321;
180112;1500;29,5211;
180112;1600;29,1707;
180112;1700;27,887;
180112;1800;25,695;
180112;1900;23,5946;
180112;2000;21,9609;
180112;2100;20,8522;
180112;2200;20,0768;
180112;2300;19,4015;
180113;0000;18,9428;
180113;0100;18,5174;
180113;0200;18,0254;
180113;0300;17,325;
180113;0400;17,0986;
180113;0500;17,0732;
180113;0600;17,6062;
180113;0700;18,7726;
180113;0800;20,3388;
180113;0900;21,7884;
180113;1000;23,5464;
180113;1100;25,2377;
180113;1200;26,1623;
180113;1300;26,962;
180113;1400;27,745;
180113;1500;28,1279;
180113;1600;28,4359;
180113;1700;28,2189;
180113;1800;27,2351;
180113;1900;25,7848;
180113;2000;23,8511;
180113;2100;22,5674;
180113;2200;21,9171;
180113;2300;21,1833;
180114;0000;20,3736;
180114;0100;19,6315;
180114;0200;18,8229;
180114;0300;18,2141;
180114;0400;17,6304;
180114;0500;17,5384;
180114;0600;18,063;
180114;0700;19,6127;
180114;0800;20,904;
180114;0900;22,262;
180114;1000;23,82;
180114;1100;24,6612;
180114;1200;24,4276;
180114;1300;25,8605;
180114;1400;27,0019;
180114;1500;27,0682;
180114;1600;26,1761;
180114;1700;24,759;
180114;1800;22,2337;
180114;1900;20,7833;
180114;2000;19,6486;
180114;2100;18,9898;
180114;2200;18,5229;
180114;2300;18,0641;
180115;0000;17,8155;
180115;0100;17,9951;
180115;0200;17,8964;
180115;0300;17,746;
180115;0400;17,7457;
180115;0500;17,6703;
180115;0600;17,4616;
180115;0700;17,6112;
180115;0800;18,0859;
180115;0900;19,4355;
180115;1000;21,0185;
180115;1100;22,5515;
180115;1200;24,3428;
180115;1300;25,0174;
180115;1400;25,3337;
180115;1500;27,225;
180115;1600;27,8902;
180115;1700;26,4565;
180115;1800;24,4395;
180115;1900;22,5391;
180115;2000;20,5054;
180115;2100;19,2301;
180115;2200;18,3964;
180115;2300;17,5626;
180116;0000;17,1623;
180116;0100;16,8369;
180116;0200;16,5449;
180116;0300;16,0862;
180116;0400;15,793;
180116;0500;15,3511;
180116;0600;15,3426;
180116;0700;16,0932;
180116;0800;18,8428;
180116;0900;21,3007;
180116;1000;23,4754;
180116;1100;25,175;
180116;1200;26,7902;
180116;1300;28,1482;
180116;1400;29,1145;
180116;1500;29,9475;
180116;1600;29,4471;
180116;1700;27,7384;
180116;1800;26,1964;
180116;1900;24,221;
180116;2000;22,154;
180116;2100;20,3536;
180116;2200;19,2032;
180116;2300;18,6362;
180117;0000;17,9025;
180117;0100;17,4521;
180117;0200;16,8518;
180117;0300;15,8674;
180117;0400;15,5922;
180117;0500;15,2836;
180117;0600;16,417;
180117;0700;19,4917;
180117;0800;21,957;
180117;0900;24,4733;
180117;1000;26,8979;
180117;1100;28,0809;
180117;1200;29,8555;
180117;1300;31,2218;
180117;1400;32,075;
180117;1500;32,8917;
180117;1600;32,8833;
180117;1700;32,3167;
180117;1800;31,325;
180117;1900;29,2167;
180117;2000;26,425;
180117;2100;25,0333;
180117;2200;24,0417;
180117;2300;23,0833;
180118;0000;22,0083;
180118;0100;20,6417;
180118;0200;19,65;
180118;0300;19,025;
180118;0400;18,4652;
180118;0500;18,0982;
180118;0600;19,4812;
180118;0700;22,5142;
180118;0800;24,6638;
180118;0900;27,1801;
180118;1000;29,2381;
180118;1100;30,5711;
180118;1200;32,0497;
180118;1300;33,3573;
180118;1400;34,2649;
180118;1500;35,0142;
180118;1600;34,3384;
180118;1700;32,9961;
180118;1800;31,4351;
180118;1900;29,2432;
180118;2000;26,5261;
180118;2100;25,1007;
180118;2200;24,1337;
180118;2300;23,3833;
180119;0000;22,2986;
180119;0100;21,0982;
180119;0200;20,0145;
180119;0300;19,7808;
180119;0400;19,2221;
180119;0500;18,5052;
180119;0600;19,3047;
180119;0700;22,4127;
180119;0800;24,4957;
180119;0900;26,9787;
180119;1000;28,6616;
180119;1100;29,3279;
180119;1200;29,8776;
180119;1300;30,6105;
180119;1400;31,3685;
180119;1500;31,6598;
180119;1600;31,3511;
180119;1700;29,6674;
180119;1800;28,6921;
180119;1900;26,5833;
180119;2000;24,8652;
180119;2100;22,6815;
180119;2200;21,3728;
180119;2300;20,1141;
180120;0000;18,7221;
180120;0100;17,5883;
180120;0200;17,163;
180120;0300;16,7126;
180120;0400;16,4206;
180120;0500;16,4786;
180120;0600;16,5941;
180120;0700;17,3279;
180120;0800;19,1275;
180120;0900;20,6105;
180120;1000;21,9851;
180120;1100;23,6681;
180120;1200;25,5178;
180120;1300;26,8424;
180120;1400;28,2753;
180120;1500;28,775;
180120;1600;28,6986;
180120;1700;28,2148;
180120;1800;26,7479;
180120;1900;25,0725;
180120;2000;22,8054;
180120;2100;21,1801;
180120;2200;19,6047;
180120;2300;18,5043;
180121;0000;17,6123;
180121;0100;17,1119;
180121;0200;16,9782;
180121;0300;17,3362;
180121;0400;17,5525;
180121;0500;17,7911;
180121;0600;18,0685;
180121;0700;18,7932;
180121;0800;20,0094;
180121;0900;21,7424;
180121;1000;21,9837;
180121;1100;22,3167;
180121;1200;22,9319;
180121;1300;23,2982;
180121;1400;23,9229;
180121;1500;25,1141;
180121;1600;24,8721;
180121;1700;24,3301;
180121;1800;23,4547;
180121;1900;21,846;
180121;2000;20,454;
180121;2100;19,6369;
180121;2200;19,0449;
180121;2300;18,6196;
180122;0000;18,0692;
180122;0100;17,6854;
180122;0200;17,3268;
180122;0300;16,9847;
180122;0400;16,526;
180122;0500;16,3189;
180122;0600;16,9086;
180122;0700;19,2583;
180122;0800;21,1403;
180122;0900;23,6233;
180122;1000;25,2812;
180122;1100;26,6309;
180122;1200;27,2472;
180122;1300;28,1218;
180122;1400;29,823;
180122;1500;30,0711;
180122;1600;30,2623;
180122;1700;29,9203;
180122;1800;28,0866;
180122;1900;25,4196;
180122;2000;23,0109;
180122;2100;20,9355;
180122;2200;19,4851;
180122;2300;18,6848;
180123;0000;17,9428;
180123;0100;17,1757;
180123;0200;16,7087;
180123;0300;16,2167;
180123;0400;15,9617;
180123;0500;16,0398;
180123;0600;16,1729;
180123;0700;16,6559;
180123;0800;17,3638;
180123;0900;18,9218;
180123;1000;21,5298;
180123;1100;23,2794;
180123;1200;25,1207;
180123;1300;26,887;
180123;1400;28,0283;
180123;1500;28,7529;
180123;1600;29,1193;
180123;1700;29,1355;
180123;1800;28,5351;
180123;1900;26,8432;
180123;2000;24,7178;
180123;2100;22,8174;
180123;2200;21,6337;
180123;2300;20,3667;
180124;0000;19,2569;
180124;0100;18,5482;
180124;0200;17,8479;
180124;0300;17,4225;
180124;0400;17,0721;
180124;0500;16,5051;
180124;0600;17,1714;
180124;0700;20,2211;
180124;0800;23,304;
180124;0900;26,137;
180124;1000;28,12;
180124;1100;29,2862;
180124;1200;30,7359;
180124;1300;31,4605;
180124;1400;31,7268;
180124;1500;32,0848;
180124;1600;31,4178;
180124;1700;30,284;
180124;1800;28,8587;
180124;1900;26,3833;
180124;2000;24,0986;
180124;2100;22,4898;
180124;2200;20,9979;
180124;2300;19,8391;
180125;0000;19,0221;
180125;0100;18,196;
180125;0200;17,9047;
180125;0300;16,521;
180125;0400;15,7687;
180125;0500;15,1935;
180125;0600;15,1933;
180125;0700;15,8765;
180125;0800;17,8693;
180125;0900;20,1105;
180125;1000;22,3518;
180125;1100;25,3598;
180125;1200;27,4261;
180125;1300;28,8257;
180125;1400;29,3504;
180125;1500;29,9417;
180125;1600;29,6902;
180125;1700;28,9232;
180125;1800;26,9395;
180125;1900;24,2808;
180125;2000;22,3137;
180125;2100;21,0384;
180125;2200;19,463;
180125;2300;18,4543;
180126;0000;17,3373;
180126;0100;16,5286;
180126;0200;15,4099;
180126;0300;14,6014;
180126;0400;14,2845;
180126;0500;13,7344;
180126;0600;14,0426;
180126;0700;15,4424;
180126;0800;17,4678;
180126;0900;20,209;
180126;1000;23,0254;
180126;1100;24,8917;
180126;1200;27,0069;
180126;1300;28,6315;
180126;1400;29,1645;
180126;1500;29,6391;
180126;1600;29,3721;
180126;1700;28,3718;
180126;1800;26,8714;
180126;1900;24,4793;
180126;2000;21,9707;
180126;2100;20,6036;
180126;2200;19,7532;
180126;2300;19,1362;
180127;0000;18,4775;
180127;0100;17,7188;
180127;0200;16,5935;
180127;0300;16,1347;
180127;0400;15,9922;
180127;0500;15,392;
180127;0600;16,1503;
180127;0700;19,0083;
180127;0800;21,457;
180127;0900;24,1233;
180127;1000;26,2229;
180127;1100;28,1142;
180127;1200;29,3555;
180127;1300;31,1134;
180127;1400;32,3595;
180127;1500;33,0838;
180127;1600;33,5831;
180127;1700;33,149;
180127;1800;32,0566;
180127;1900;29,9362;
180127;2000;27,4609;
180127;2100;25,8855;
180127;2200;24,8768;
180127;2300;24,0765;
180128;0000;22,5094;
180128;0100;21,634;
180128;0200;21,0904;
180128;0300;20,4;
180128;0400;19,2902;
180128;0500;18,0482;
180128;0600;18,5312;
180128;0700;22,0641;
180128;0800;24,5472;
180128;0900;27,6218;
180128;1000;30,0547;
180128;1100;31,3211;
180128;1200;33,108;
180128;1300;34,7073;
180128;1400;35,6399;
180128;1500;36,1141;
180128;1600;36,1469;
180128;1700;35,4877;
180128;1800;34,162;
180128;1900;31,7348;
180128;2000;28,9261;
180128;2100;27,2007;
180128;2200;25,6504;
180128;2300;24,4667;
180129;0000;23,4236;
180129;0100;22,0148;
180129;0200;20,6312;
180129;0300;19,8558;
180129;0400;19,4304;
180129;0500;18,8468;
180129;0600;19,413;
180129;0700;21,8961;
180129;0800;23,6207;
180129;0900;25,8287;
180129;1000;28,0033;
180129;1100;29,4612;
180129;1200;30,5859;
180129;1300;31,4855;
180129;1400;32,1119;
180129;1500;31,4848;
180129;1600;30,6928;
180129;1700;29,434;
180129;1800;27,4504;
180129;1900;24,5;
180129;2000;21,8319;
180129;2100;20,4648;
180129;2200;18,7979;
180129;2300;17,0391;
180130;0000;15,9277;
180130;0100;15,3108;
180130;0200;14,3356;
180130;0300;13,3939;
180130;0400;13,0603;
180130;0500;12,8101;
180130;0600;13,3349;
180130;0700;15,2682;
180130;0800;17,2526;
180130;0900;20,1105;
180130;1000;23,7018;
180130;1100;26,2848;
180130;1200;28,4178;
180130;1300;29,8924;
180130;1400;30,7421;
180130;1500;31,1;
180130;1600;31,1402;
180130;1700;30,9815;
180130;1800;30,2562;
180130;1900;28,3391;
180130;2000;26,2304;
180130;2100;24,5384;
180130;2200;23,513;
180130;2300;22,5793;
180131;0000;21,9457;
180131;0100;21,2119;
180131;0200;20,6449;
180131;0300;19,8529;
180131;0400;19,2608;
180131;0500;18,7688;
180131;0600;18,8435;
180131;0700;22,2848;
180131;0800;24,7428;
180131;0900;26,9007;
180131;1000;29,3921;
180131;1100;30,4833;
180131;1200;31,9069;
180131;1300;33,7214;
180131;1400;34,5206;
180131;1500;35,1866;
180131;1600;34,6442;
180131;1700;33,8101;
180131;1800;32,3511;
180131;1900;29,5376;
180131;2000;26,7373;
180131;2100;24,8369;
180131;2200;23,6699;
180131;2300;22,8362;
180201;0000;21,7692;
180201;0100;20,2938;
180201;0200;19,4768;
180201;0300;19,1847;
180201;0400;18,7427;
180201;0500;18,1174;
180201;0600;18,242;
180201;0700;21,3583;
180201;0800;23,782;
180201;0900;26,9149;
180201;1000;28,9979;
180201;1100;30,0976;
180201;1200;31,7972;
180201;1300;32,6436;
180201;1400;33,5178;
180201;1500;34,0005;
180201;1600;33,5081;
180201;1700;32,424;
180201;1800;30,6283;
180201;1900;28,0029;
180201;2000;25,6776;
180201;2100;23,9355;
180201;2200;22,8185;
180201;2300;21,2682;
180202;0000;20,4761;
180202;0100;19,2174;
180202;0200;18,2421;
180202;0300;17,8917;
180202;0400;17,0652;
180202;0500;15,845;
180202;0600;15,3448;
180202;0700;16,7142;
180202;0800;18,7722;
180202;0900;21,3468;
180202;1000;23,9214;
180202;1100;25,7377;
180202;1200;27,6457;
180202;1300;28,7454;
180202;1400;29,5783;
180202;1500;30,4696;
180202;1600;30,5026;
180202;1700;30,2355;
180202;1800;28,6185;
180202;1900;25,8848;
180202;2000;23,5428;
180202;2100;22,1174;
180202;2200;21,2671;
180202;2300;20,5667;
180203;0000;19,3402;
180203;0100;18,2815;
180203;0200;17,5062;
180203;0300;16,7808;
180203;0400;16,2137;
180203;0500;15,6935;
180203;0600;15,7941;
180203;0700;16,2461;
180203;0800;17,0623;
180203;0900;19,7037;
180203;1000;22,8283;
180203;1100;25,4196;
180203;1200;27,5443;
180203;1300;28,7272;
180203;1400;29,5601;
180203;1500;30,1742;
180203;1600;30,1928;
180203;1700;29,7174;
180203;1800;28,6171;
180203;1900;26,65;
180203;2000;24,8402;
180203;2100;23,4732;
180203;2200;22,6312;
180203;2300;21,8558;
180204;0000;21,0804;
180204;0100;20,2634;
180204;0200;19,8547;
180204;0300;18,7626;
180204;0400;18,0873;
180204;0500;18,0854;
180204;0600;18,37;
180204;0700;20,5446;
180204;0800;23,1526;
180204;0900;25,6605;
180204;1000;27,5935;
180204;1100;29,1432;
180204;1200;30,6928;
180204;1300;31,9424;
180204;1400;32,2924;
180204;1500;32,6333;
180204;1600;32,7721;
180204;1700;31,5232;
180204;1800;29,4395;
180204;1900;26,4975;
180204;2000;23,8804;
180204;2100;22,1801;
180204;2200;20,8797;
180204;2300;20,1543;
180205;0000;19,2623;
180205;0100;18,3286;
180205;0200;18,0532;
180205;0300;17,7862;
180205;0400;17,7525;
180205;0500;17,4688;
180205;0600;16,5768;
180205;0700;17,2098;
180205;0800;19,4261;
180205;0900;22,5174;
180205;1000;25,5254;
180205;1100;27,875;
180205;1200;29,2986;
180205;1300;30,1982;
180205;1400;31,1395;
180205;1500;29,7641;
180205;1600;28,4804;
180205;1700;26,8051;
180205;1800;26,0714;
180205;1900;25,2543;
180205;2000;24,1123;
180205;2100;23,0036;
180205;2200;22,5124;
180205;2300;22,2529;
180206;0000;20,8025;
180206;0100;19,9771;
180206;0200;19,6935;
180206;0300;18,0597;
180206;0400;17,526;
180206;0500;16,8257;
180206;0600;16,8253;
180206;0700;17,3167;
180206;0800;18,4987;
180206;0900;20,6566;
180206;1000;23,9895;
180206;1100;25,3809;
180206;1200;26,4055;
180206;1300;28,5218;
180206;1400;30,0881;
180206;1500;30,4627;
180206;1600;30,379;
180206;1700;30,037;
180206;1800;29,0533;
180206;1900;26,7946;
180206;2000;25,1693;
180206;2100;23,6522;
180206;2200;22,5101;
180206;2300;21,7515;
180207;0000;20,9844;
180207;0100;20,3757;
180207;0200;19,6504;
180207;0300;18,8583;
180207;0400;18,5902;
180207;0500;18,1732;
180207;0600;18,3312;
180207;0700;20,9391;
180207;0800;22,7888;
180207;0900;24,9551;
180207;1000;26,9214;
180207;1100;28,2961;
180207;1200;29,7957;
180207;1300;30,562;
180207;1400;30,8366;
180207;1500;30,7196;
180207;1600;30,4359;
180207;1700;29,6855;
180207;1800;28,1101;
180207;1900;25,4015;
180207;2000;23,1761;
180207;2100;22,2174;
180207;2200;21,0337;
180207;2300;20,3417;
180208;0000;19,8819;
180208;0100;18,2898;
180208;0200;18,0895;
180208;0300;17,5391;
180208;0400;17,4304;
