FECHA (YYMMDD);HORA (HHMM);;
180101;0100;14,1851;
180101;0200;13,8099;
180101;0300;13,0931;
180101;0400;12,6095;
180101;0500;12,5594;
180101;0600;14,2842;
180101;0700;16,8932;
180101;0800;18,9344;
180101;0900;20,8674;
180101;1000;22,6671;
180101;1100;24,1333;
180101;1200;25,3401;
180101;1300;26,1648;
180101;1400;26,5311;
180101;1500;26,3224;
180101;1600;25,5304;
180101;1700;24,1467;
180101;1800;22,413;
180101;1900;20,4626;
180101;2000;18,7707;
180101;2100;17,6786;
180101;2200;17,0532;
180101;2300;16,1112;
180102;0000;14,6512;
180102;0100;14,3178;
180102;0200;14,1426;
180102;0300;13,784;
180102;0400;13,4172;
180102;0500;13,4003;
180102;0600;14,6335;
180102;0700;17,7167;
180102;0800;19,9902;
180102;0900;22,3732;
180102;1000;24,1229;
180102;1100;26,0391;
180102;1200;26,7137;
180102;1300;27,6551;
180102;1400;28,0047;
180102;1500;27,996;
180102;1600;27,4957;
180102;1700;26,7119;
180102;1800;25,7282;
180102;1900;23,4362;
180102;2000;20,5942;
180102;2100;19,0104;
180102;2200;18,3851;
180102;2300;17,6764;
180103;0000;16,8928;
180103;0100;16,3507;
180103;0200;16,0087;
180103;0300;15,1917;
180103;0400;14,7367;
180103;0500;14,4365;
180103;0600;16,231;
180103;0700;19,9057;
180103;0800;22,5387;
180103;0900;24,6633;
180103;1000;25,5047;
180103;1100;26,4793;
180103;1200;27,6789;
180103;1300;28,7936;
180103;1400;29,4115;
180103;1500;29,6862;
180103;1600;29,6358;
180103;1700;29,2022;
180103;1800;27,6935;
180103;1900;24,7265;
180103;2000;21,8844;
180103;2100;20,684;
180103;2200;19,6587;
180103;2300;19,0917;
180104;0000;18,5152;
180104;0100;17,7732;
180104;0200;17,0561;
180104;0300;15,8362;
180104;0400;15,5277;
180104;0500;15,4692;
180104;0600;16,188;
180104;0700;19,7877;
180104;0800;21,679;
180104;0900;24,0037;
180104;1000;25,1866;
180104;1100;26,8112;
180104;1200;27,7693;
180104;1300;28,2022;
180104;1400;29,8935;
180104;1500;29,4348;
180104;1600;27,4428;
180104;1700;26,7924;
180104;1800;24,0754;
180104;1900;22,2917;
180104;2000;20,4401;
180104;2100;18,8315;
180104;2200;18,6144;
180104;2300;17,0057;
180105;0000;16,4471;
180105;0100;16,555;
180105;0200;15,8856;
180105;0300;15,2521;
180105;0400;15,0686;
180105;0500;15,0768;
180105;0600;15,5183;
180105;0700;16,9278;
180105;0800;19,7942;
180105;0900;21,4438;
180105;1000;22,6518;
180105;1100;23,3097;
180105;1200;24,7178;
180105;1300;25,859;
180105;1400;27,0254;
180105;1500;27,4167;
180105;1600;27,7068;
180105;1700;27,0565;
180105;1800;26,2478;
180105;1900;24,8724;
180105;2000;23,0387;
180105;2100;22,1633;
180105;2200;21,088;
180105;2300;20,4126;
180106;0000;19,0457;
180106;0100;18,3619;
180106;0200;17,7782;
180106;0300;17,2779;
180106;0400;16,6358;
180106;0500;15,9594;
180106;0600;16,6185;
180106;0700;20,5515;
180106;0800;22,8928;
180106;0900;23,984;
180106;1000;25,4421;
180106;1100;26,6083;
180106;1200;28,4485;
180106;1300;29,6982;
180106;1400;30,7728;
180106;1500;31,689;
180106;1600;31,9554;
180106;1700;31,53;
180106;1800;30,6129;
180106;1900;28,9876;
180106;2000;26,4789;
180106;2100;24,8036;
180106;2200;23,7699;
180106;2300;22,3196;
180107;0000;21,1525;
180107;0100;20,2521;
180107;0200;19,4101;
180107;0300;18,3681;
180107;0400;17,276;
180107;0500;17,584;
180107;0600;18,992;
180107;0700;23,175;
180107;0800;23,9902;
180107;0900;24,4816;
180107;1000;25,1645;
180107;1100;25,6641;
180107;1200;26,6055;
180107;1300;26,7884;
180107;1400;27,2775;
180107;1500;26,9294;
180107;1600;26,3707;
180107;1700;25,562;
180107;1800;23,8283;
180107;1900;21,4029;
180107;2000;19,6609;
180107;2100;18,4189;
180107;2200;17,5685;
180107;2300;16,7682;
180108;0000;15,5255;
180108;0100;14,6421;
180108;0200;14,3419;
180108;0300;14,2112;
180108;0400;14,0451;
180108;0500;13,8449;
180108;0600;14,453;
180108;0700;16,1557;
180108;0800;17,9471;
180108;0900;20,6717;
180108;1000;22,4879;
180108;1100;24,0376;
180108;1200;26,0456;
180108;1300;27,1453;
180108;1400;27,3533;
180108;1500;27,1779;
180108;1600;25,8693;
180108;1700;25,1939;
180108;1800;23,3518;
180108;1900;21,2182;
180108;2000;19,3511;
180108;2100;17,884;
180108;2200;16,6004;
180108;2300;16,4333;
180109;0000;15,5283;
180109;0100;14,7365;
180109;0200;14,6613;
180109;0300;14,2695;
180109;0400;14,2777;
180109;0500;13,5525;
180109;0600;14,6774;
180109;0700;17,7875;
180109;0800;19,2455;
180109;0900;21,3368;
180109;1000;23,0364;
180109;1100;25,1695;
180109;1200;26,6526;
180109;1300;27,7689;
180109;1400;28,3851;
180109;1500;28,2097;
180109;1600;27,7844;
180109;1700;26,984;
180109;1800;25,5587;
180109;1900;23,1;
180109;2000;20,6735;
180109;2100;19,1398;
180109;2200;18,3394;
180109;2300;17,9807;
180110;0000;17,8471;
180110;0100;17,93;
180110;0200;17,4214;
180110;0300;17,0543;
180110;0400;16,5956;
180110;0500;16,4218;
180110;0600;18,095;
180110;0700;21,1696;
180110;0800;23,3276;
180110;0900;24,5522;
180110;1000;26,2268;
180110;1100;27,2515;
180110;1200;27,8594;
180110;1300;28,3257;
180110;1400;28,1421;
180110;1500;27,4417;
180110;1600;26,1902;
180110;1700;24,8482;
180110;1800;23,4729;
180110;1900;21,3558;
180110;2000;19,5471;
180110;2100;18,5884;
180110;2200;18,2047;
180110;2300;17,4626;
180111;0000;16,704;
180111;0100;15,8018;
180111;0200;15,3516;
180111;0300;15,2431;
180111;0400;15,3262;
180111;0500;15,5761;
180111;0600;17,0018;
180111;0700;19,2432;
180111;0800;21,3178;
180111;0900;23,5424;
180111;1000;24,6504;
180111;1100;25,725;
180111;1200;26,616;
180111;1300;26,9982;
180111;1400;27,1979;
180111;1500;26,3475;
180111;1600;25,4637;
180111;1700;24,7051;
180111;1800;23,7214;
180111;1900;21,8626;
180111;2000;19,5873;
180111;2100;18,8869;
180111;2200;18,0615;
180111;2300;16,9196;
180112;0000;16,1775;
180112;0100;15,9911;
180112;0200;15,5676;
180112;0300;15,434;
180112;0400;15,4338;
180112;0500;15,2893;
180112;0600;16,4336;
180112;0700;18,675;
180112;0800;19,2819;
180112;0900;21,4315;
180112;1000;22,7229;
180112;1100;24,6891;
180112;1200;25,6888;
180112;1300;24,7968;
180112;1400;26,5381;
180112;1500;25,4377;
180112;1600;24,4373;
180112;1700;23,2537;
180112;1800;21,5033;
180112;1900;19,6279;
180112;2000;18,6693;
180112;2100;17,8272;
180112;2200;17,0685;
180112;2300;16,1015;
180113;0000;15,9839;
180113;0100;15,8004;
180113;0200;15,8113;
180113;0300;15,5583;
180113;0400;15,0534;
180113;0500;15,3033;
180113;0600;15,7864;
180113;0700;16,6058;
180113;0800;18,9472;
180113;0900;20,3468;
180113;1000;20,7964;
180113;1100;22,3127;
180113;1200;23,1707;
180113;1300;24,0619;
180113;1400;24,1934;
180113;1500;24,1938;
180113;1600;24,0859;
180113;1700;23,9189;
180113;1800;22,9435;
180113;1900;21,4347;
180113;2000;20,0511;
180113;2100;19,134;
180113;2200;18,542;
180113;2300;18,175;
180114;0000;17,5986;
180114;0100;16,8648;
180114;0200;16,1394;
180114;0300;15,6279;
180114;0400;14,861;
180114;0500;14,9692;
180114;0600;15,819;
180114;0700;18,8862;
180114;0800;20,7623;
180114;0900;21,8204;
180114;1000;22,395;
180114;1100;23,5612;
180114;1200;22,5359;
180114;1300;22,6939;
180114;1400;24,2435;
180114;1500;23,9265;
180114;1600;22,8594;
180114;1700;21,584;
180114;1800;19,4587;
180114;1900;17,225;
180114;2000;15,8951;
180114;2100;14,7615;
180114;2200;14,4447;
180114;2300;13,9612;
180115;0000;13,7277;
180115;0100;13,5358;
180115;0200;13,5441;
180115;0300;13,6105;
180115;0400;13,552;
180115;0500;13,5768;
180115;0600;13,2766;
180115;0700;13,0848;
180115;0800;14,2513;
180115;0900;15,4344;
180115;1000;16,2018;
180115;1100;17,8098;
180115;1200;20,3928;
180115;1300;22,709;
180115;1400;24,1004;
180115;1500;23,6667;
180115;1600;24,0342;
180115;1700;23,1565;
180115;1800;21,0062;
180115;1900;18,4725;
180115;2000;16,4137;
180115;2100;15,1108;
180115;2200;14,4106;
180115;2300;13,9605;
180116;0000;13,5853;
180116;0100;13,0435;
180116;0200;12,3099;
180116;0300;12,0597;
180116;0400;11,9095;
180116;0500;11,5094;
180116;0600;11,4342;
180116;0700;12,984;
180116;0800;16,6511;
180116;0900;18,6924;
180116;1000;20,2171;
180116;1100;22,3333;
180116;1200;23,9486;
180116;1300;25,3065;
180116;1400;26,2979;
180116;1500;26,9149;
180116;1600;26,1971;
180116;1700;24,4301;
180116;1800;22,638;
180116;1900;20,5876;
180116;2000;18,304;
180116;2100;16,3536;
180116;2200;15,4349;
180116;2300;14,9015;
180117;0000;14,3929;
180117;0100;14,0094;
180117;0200;13,7259;
180117;0300;13,184;
180117;0400;13,0338;
180117;0500;12,7753;
180117;0600;13,6835;
180117;0700;17,9083;
180117;0800;19,5902;
180117;0900;21,6983;
180117;1000;23,2062;
180117;1100;24,8058;
180117;1200;26,3305;
180117;1300;27,4968;
180117;1400;28,7381;
180117;1500;29,4377;
180117;1600;29,5623;
180117;1700;29,0453;
180117;1800;27,4866;
180117;1900;25,1529;
180117;2000;22,5276;
180117;2100;21,1189;
180117;2200;20,2935;
180117;2300;19,3348;
180118;0000;18,3428;
180118;0100;17,8257;
180118;0200;17,0087;
180118;0300;16,3667;
180118;0400;15,7701;
180118;0500;15,27;
180118;0600;15,9864;
180118;0700;19,5226;
180118;0800;22,5138;
180118;0900;24,4384;
180118;1000;25,5547;
180118;1100;27,0794;
180118;1200;28,354;
180118;1300;29,6287;
180118;1400;30,595;
180118;1500;31,0029;
180118;1600;30,6776;
180118;1700;29,1189;
180118;1800;27,5601;
180118;1900;24,9765;
180118;2000;22,8678;
180118;2100;21,3174;
180118;2200;20,3837;
180118;2300;19,7;
180119;0000;19,0069;
180119;0100;18,0398;
180119;0200;18,0244;
180119;0300;17,3641;
180119;0400;16,3804;
180119;0500;16,3218;
180119;0600;17,1797;
180119;0700;20,8627;
180119;0800;23,7373;
180119;0900;24,7704;
180119;1000;26,795;
180119;1100;27,0362;
180119;1200;27,6208;
180119;1300;27,2855;
180119;1400;27,4018;
180119;1500;27,0598;
180119;1600;26,9094;
180119;1700;26,1507;
180119;1800;25,0004;
180119;1900;23,5917;
180119;2000;21,1652;
180119;2100;19,7815;
180119;2200;18,9895;
180119;2300;17,8641;
180120;0000;16,6471;
180120;0100;15,1192;
180120;0200;14,4523;
180120;0300;13,8355;
180120;0400;14,302;
180120;0500;14,2685;
180120;0600;14,2933;
180120;0700;16,1612;
180120;0800;15,8513;
180120;0900;16,2189;
180120;1000;18,7101;
180120;1100;20,6682;
180120;1200;22,7594;
180120;1300;23,5507;
180120;1400;24,7587;
180120;1500;25,1917;
180120;1600;25,2903;
180120;1700;24,8899;
180120;1800;23,6062;
180120;1900;21,1391;
180120;2000;19,7638;
180120;2100;18,3884;
180120;2200;16,6464;
180120;2300;15,4105;
180121;0000;14,4437;
180121;0100;13,7351;
180121;0200;12,7849;
