FECHA (YYMMDD);HORA (HHMM);;
180101;0100;0,807337;
180101;0200;1,15921;
180101;0300;1,05259;
180101;0400;0,690422;
180101;0500;0,677495;
180101;0600;0,581812;
180101;0700;0,593827;
180101;0800;0,769217;
180101;0900;0,77601;
180101;1000;0,228955;
180101;1100;1,14347;
180101;1200;2,245;
180101;1300;2,96666;
180101;1400;3,4931;
180101;1500;3,61431;
180101;1600;3,40693;
180101;1700;3,26118;
180101;1800;2,71386;
180101;1900;2,17711;
180101;2000;2,15326;
180101;2100;1,38204;
180101;2200;1,42046;
180101;2300;1,42463;
180102;0000;1,19259;
180102;0100;0,498459;
180102;0200;0,515656;
180102;0300;0,549471;
180102;0400;0,595063;
180102;0500;0,126957;
180102;0600;0,495447;
180102;0700;1,07723;
180102;0800;1,24008;
180102;0900;0,432348;
180102;1000;0,724474;
180102;1100;0,989382;
180102;1200;2,30021;
180102;1300;2,76796;
180102;1400;3,09748;
180102;1500;3,28191;
180102;1600;3,08799;
180102;1700;3,35629;
180102;1800;3,01332;
180102;1900;1,90127;
180102;2000;1,68089;
180102;2100;1,28186;
180102;2200;0,500633;
180102;2300;0,455921;
180103;0000;0,37202;
180103;0100;0,54138;
180103;0200;0,605261;
180103;0300;0,348891;
180103;0400;0,446031;
180103;0500;0,0301463;
180103;0600;0,464497;
180103;0700;0,912913;
180103;0800;0,880393;
180103;0900;0,61874;
180103;1000;1,40876;
180103;1100;2,50217;
180103;1200;2,42505;
180103;1300;3,38425;
180103;1400;3,04634;
180103;1500;2,86345;
180103;1600;2,72357;
180103;1700;2,73619;
180103;1800;2,67659;
180103;1900;2,66246;
180103;2000;1,75923;
180103;2100;1,72518;
180103;2200;1,27529;
180103;2300;0,667254;
180104;0000;0,77549;
180104;0100;0,791042;
180104;0200;1,02844;
180104;0300;1,03387;
180104;0400;0,522423;
180104;0500;0,259998;
180104;0600;0,732655;
180104;0700;0,818531;
180104;0800;1,13166;
180104;0900;0,925973;
180104;1000;0,822065;
180104;1100;1,4854;
180104;1200;2,77057;
180104;1300;2,90444;
180104;1400;2,33337;
180104;1500;3,06847;
180104;1600;3,68914;
180104;1700;3,66436;
180104;1800;2,97429;
180104;1900;2,23148;
180104;2000;2,25001;
180104;2100;1,09676;
180104;2200;1,11936;
180104;2300;1,32636;
180105;0000;0,92612;
180105;0100;1,28719;
180105;0200;1,53168;
180105;0300;1,38961;
180105;0400;0,978779;
180105;0500;1,02049;
180105;0600;1,09195;
180105;0700;1,47928;
180105;0800;0,826239;
180105;0900;0,748123;
180105;1000;1,01666;
180105;1100;1,58483;
180105;1200;2,01744;
180105;1300;2,99633;
180105;1400;2,37015;
180105;1500;2,60338;
180105;1600;2,85498;
180105;1700;2,74546;
180105;1800;2,71193;
180105;1900;2,40544;
180105;2000;1,67036;
180105;2100;1,30877;
180105;2200;1,47723;
180105;2300;1,0747;
180106;0000;0,64671;
180106;0100;0,477891;
180106;0200;0,615296;
180106;0300;0,460443;
180106;0400;0,123359;
180106;0500;0,430135;
180106;0600;0,682691;
180106;0700;0,0566685;
180106;0800;0,535882;
180106;0900;0,448527;
180106;1000;0,510513;
180106;1100;1,06037;
180106;1200;1,86362;
180106;1300;1,82984;
180106;1400;1,84299;
180106;1500;2,51698;
180106;1600;2,46132;
180106;1700;3,03899;
180106;1800;2,85259;
180106;1900;2,12743;
180106;2000;1,33975;
180106;2100;1,24812;
180106;2200;0,178347;
180106;2300;0,139411;
180107;0000;0,11028;
180107;0100;0,302065;
180107;0200;0,157844;
180107;0300;0,273659;
180107;0400;0,387802;
180107;0500;0,221894;
180107;0600;0,391293;
180107;0700;1,19644;
180107;0800;1,63519;
180107;0900;2,16052;
180107;1000;2,35828;
180107;1100;2,92424;
180107;1200;3,22547;
180107;1300;3,62678;
180107;1400;3,4357;
180107;1500;3,46721;
180107;1600;3,28817;
180107;1700;3,17812;
180107;1800;2,73689;
180107;1900;2,74275;
180107;2000;2,1491;
180107;2100;1,61695;
180107;2200;1,69597;
180107;2300;1,53966;
180108;0000;1,49131;
180108;0100;1,11221;
180108;0200;1,21588;
180108;0300;1,04572;
180108;0400;1,07735;
180108;0500;1,0438;
180108;0600;0,918244;
180108;0700;0,885151;
180108;0800;1,31109;
180108;0900;0,767008;
180108;1000;0,969414;
180108;1100;0,857504;
180108;1200;1,22493;
180108;1300;2,12106;
180108;1400;2,91945;
180108;1500;2,97213;
180108;1600;3,1906;
180108;1700;3,15124;
180108;1800;2,53802;
180108;1900;2,25861;
180108;2000;2,01125;
180108;2100;2,14647;
180108;2200;1,83014;
180108;2300;1,48403;
180109;0000;1,42058;
180109;0100;0,915522;
180109;0200;0,889357;
180109;0300;0,873933;
180109;0400;0,540003;
180109;0500;0,859235;
180109;0600;1,05802;
180109;0700;0,999365;
180109;0800;0,973902;
180109;0900;0,799262;
180109;1000;0,610391;
180109;1100;1,39721;
180109;1200;2,15553;
