FECHA (YYMMDD);HORA (HHMM);;
180101;0100;1,23628;
180101;0200;1,21438;
180101;0300;1,11053;
180101;0400;0,646768;
180101;0500;0,825534;
180101;0600;0,994789;
180101;0700;0,260873;
180101;0800;0,206631;
180101;0900;0,282261;
180101;1000;0,880943;
180101;1100;1,97941;
180101;1200;2,63107;
180101;1300;3,45945;
180101;1400;3,74631;
180101;1500;4,19815;
180101;1600;3,2223;
180101;1700;3,16188;
180101;1800;2,65023;
180101;1900;2,04171;
180101;2000;2,38223;
180101;2100;2,40343;
180101;2200;2,14698;
180101;2300;1,69539;
180102;0000;2,12756;
180102;0100;1,19508;
180102;0200;0,271258;
180102;0300;0,174407;
180102;0400;0,651714;
180102;0500;0,687751;
180102;0600;1,04378;
180102;0700;0,927;
180102;0800;0,61564;
180102;0900;0,730696;
180102;1000;0,544597;
180102;1100;2,05989;
180102;1200;3,24498;
180102;1300;3,44249;
180102;1400;3,43541;
180102;1500;3,57624;
180102;1600;3,5676;
180102;1700;4,0312;
180102;1800;3,65723;
180102;1900;3,01174;
180102;2000;1,97232;
180102;2100;2,14095;
180102;2200;1,3246;
180102;2300;0,793147;
180103;0000;0,542509;
180103;0100;1,2067;
180103;0200;1,05037;
180103;0300;0,619768;
180103;0400;0,34578;
180103;0500;0,491425;
180103;0600;0,681234;
180103;0700;1,29725;
180103;0800;1,38513;
180103;0900;0,406198;
180103;1000;1,63667;
180103;1100;3,36349;
180103;1200;3,20251;
180103;1300;3,19659;
180103;1400;3,44906;
180103;1500;3,26335;
180103;1600;3,15911;
180103;1700;3,06218;
180103;1800;3,5469;
180103;1900;3,07115;
180103;2000;1,52311;
180103;2100;1,52811;
180103;2200;1,40236;
180103;2300;1,59318;
180104;0000;1,72456;
180104;0100;1,47348;
180104;0200;1,62616;
180104;0300;1,10359;
180104;0400;0,673963;
180104;0500;0,415331;
180104;0600;0,80616;
180104;0700;0,691065;
180104;0800;0,728341;
180104;0900;0,787872;
180104;1000;1,17587;
180104;1100;1,98741;
180104;1200;3,30499;
180104;1300;3,23894;
180104;1400;2,77628;
180104;1500;3,38133;
180104;1600;4,85519;
180104;1700;5,08659;
180104;1800;4,51838;
180104;1900;3,16399;
180104;2000;2,59291;
180104;2100;1,44359;
180104;2200;1,52353;
180104;2300;2,35084;
180105;0000;1,59181;
180105;0100;1,36736;
180105;0200;1,61603;
180105;0300;1,84217;
180105;0400;1,19554;
180105;0500;0,837033;
180105;0600;1,14267;
180105;0700;1,75805;
180105;0800;1,67863;
180105;0900;1,2938;
180105;1000;2,13222;
180105;1100;2,50244;
180105;1200;3,1601;
180105;1300;3,38004;
180105;1400;3,22418;
180105;1500;3,22046;
180105;1600;3,22889;
180105;1700;3,41315;
180105;1800;2,99432;
180105;1900;2,55617;
180105;2000;2,10722;
180105;2100;1,82278;
180105;2200;2,99383;
180105;2300;2,43763;
180106;0000;1,78758;
180106;0100;1,88822;
180106;0200;1,18577;
180106;0300;0,706559;
180106;0400;0,547735;
180106;0500;0,184435;
180106;0600;0,38529;
180106;0700;0,589076;
180106;0800;0,369846;
180106;0900;0,634713;
180106;1000;1,09238;
180106;1100;2,11619;
180106;1200;2,42949;
180106;1300;2,52975;
180106;1400;2,52561;
180106;1500;2,66195;
180106;1600;3,31132;
180106;1700;3,29166;
