FECHA (YYMMDD);HORA (HHMM);;
180101;0100;0,311928;
180101;0200;0,621939;
180101;0300;0,579157;
180101;0400;0,235114;
180101;0500;0,352007;
180101;0600;0,542401;
180101;0700;0,703676;
180101;0800;0,691528;
180101;0900;1,07367;
180101;1000;1,14274;
180101;1100;2,05464;
180101;1200;3,22297;
180101;1300;3,7696;
180101;1400;4,34725;
180101;1500;4,78658;
180101;1600;5,47279;
180101;1700;5,08662;
180101;1800;3,81191;
180101;1900;2,05339;
180101;2000;2,32918;
180101;2100;1,5673;
180101;2200;1,54747;
180101;2300;1,03165;
180102;0000;0,615092;
180102;0100;0,267822;
180102;0200;0,277984;
180102;0300;0,891531;
180102;0400;0,714549;
180102;0500;1,29252;
180102;0600;0,545519;
180102;0700;0,540728;
180102;0800;1,00625;
180102;0900;1,28272;
180102;1000;1,58816;
180102;1100;1,90626;
180102;1200;3,4141;
180102;1300;3,82855;
180102;1400;4,48496;
180102;1500;4,78366;
180102;1600;5,09545;
180102;1700;5,38678;
180102;1800;4,28633;
180102;1900;2,44495;
180102;2000;2,46231;
180102;2100;1,41114;
180102;2200;1,25234;
180102;2300;1,20074;
180103;0000;0,349902;
180103;0100;0,677669;
180103;0200;0,949286;
180103;0300;0,455949;
180103;0400;0,46535;
180103;0500;0,833958;
180103;0600;0,831296;
180103;0700;0,59036;
180103;0800;0,736093;
180103;0900;0,874016;
180103;1000;2,13948;
180103;1100;3,23072;
180103;1200;3,45104;
180103;1300;3,8182;
180103;1400;4,29613;
180103;1500;3,78621;
180103;1600;4,07267;
180103;1700;4,51088;
180103;1800;4,55493;
180103;1900;3,41984;
180103;2000;2,13864;
180103;2100;1,35011;
180103;2200;0,545128;
180103;2300;0,89287;
180104;0000;0,449803;
180104;0100;0,350382;
180104;0200;0,314141;
180104;0300;0,754065;
180104;0400;0,527423;
180104;0500;0,956119;
180104;0600;0,563199;
180104;0700;0,756485;
180104;0800;1,3951;
180104;0900;1,18421;
180104;1000;1,79699;
180104;1100;2,46304;
180104;1200;2,76387;
180104;1300;3,60803;
180104;1400;2,557;
180104;1500;4,32095;
180104;1600;5,57325;
180104;1700;5,73529;
180104;1800;4,49136;
180104;1900;2,78953;
180104;2000;2,33895;
180104;2100;0,622661;
180104;2200;0,782571;
180104;2300;1,39905;
180105;0000;0,447909;
180105;0100;1,38111;
180105;0200;1,08201;
180105;0300;1,24644;
180105;0400;0,574465;
180105;0500;0,322843;
180105;0600;0,716498;
180105;0700;1,21119;
180105;0800;0,263215;
180105;0900;0,389611;
180105;1000;2,47672;
180105;1100;3,23464;
180105;1200;3,64209;
180105;1300;4,29937;
180105;1400;3,77258;
180105;1500;4,07166;
180105;1600;4,40473;
180105;1700;4,76115;
180105;1800;4,4235;
180105;1900;3,31115;
180105;2000;1,38448;
180105;2100;1,7122;
180105;2200;1,15288;
180105;2300;0,204402;
180106;0000;0,181318;
180106;0100;0,307364;
180106;0200;0,764555;
180106;0300;0,785783;
180106;0400;0,996211;
180106;0500;0,42746;
180106;0600;0,962527;
180106;0700;0,133594;
180106;0800;0,420331;
180106;0900;1,7507;
180106;1000;2,52132;
180106;1100;2,84225;
180106;1200;3,5475;
180106;1300;3,81919;
180106;1400;3,89833;
180106;1500;4,26696;
180106;1600;4,46107;
180106;1700;4,69081;
180106;1800;4,22342;
180106;1900;2,83088;
180106;2000;0,72243;
180106;2100;0,119106;
180106;2200;0,776366;
180106;2300;0,61522;
180107;0000;1,36803;
180107;0100;1,07968;
180107;0200;1,19577;
180107;0300;0,565071;
180107;0400;0,651569;
180107;0500;1,47941;
180107;0600;1,01;
180107;0700;0,193565;
180107;0800;1,59726;
180107;0900;2,15407;
180107;1000;3,13195;
180107;1100;4,03172;
180107;1200;4,55005;
180107;1300;5,00717;
180107;1400;4,757;
180107;1500;5,20817;
180107;1600;4,66812;
180107;1700;4,81094;
180107;1800;4,36596;
180107;1900;3,20661;
180107;2000;1,94707;
180107;2100;1,42267;
180107;2200;0,963022;
180107;2300;1,13111;
180108;0000;1,3672;
180108;0100;0,855969;
180108;0200;0,866524;
180108;0300;1,0201;
180108;0400;1,00034;
180108;0500;0,846079;
180108;0600;1,27225;
180108;0700;1,10513;
180108;0800;1,40289;
180108;0900;1,36339;
180108;1000;2,19031;
180108;1100;2,54283;
180108;1200;2,52963;
180108;1300;3,21611;
180108;1400;4,25943;
180108;1500;4,18602;
180108;1600;4,88684;
180108;1700;4,39004;
180108;1800;4,58662;
180108;1900;3,60871;
180108;2000;2,16146;
180108;2100;1,56691;
180108;2200;1,18766;
180108;2300;0,447755;
180109;0000;1,29749;
180109;0100;0,529652;
180109;0200;0,710689;
180109;0300;0,465088;
180109;0400;0,696687;
180109;0500;0,752959;
180109;0600;0,831522;
180109;0700;0,557695;
180109;0800;1,22052;
180109;0900;1,08246;
180109;1000;1,85271;
180109;1100;2,07185;
180109;1200;2,4331;
180109;1300;3,61553;
180109;1400;3,99808;
180109;1500;4,64158;
180109;1600;4,43322;
180109;1700;4,6469;
180109;1800;4,19068;
180109;1900;3,22577;
180109;2000;2,87127;
180109;2100;1,80211;
180109;2200;1,48305;
180109;2300;0,56986;
