comuna,station_id,day,avg_pm25,num_hourly_obs
Pudahuel,D30,2018-05-19,63.041666666666664,24
Pudahuel,D30,2018-05-20,69.54166666666667,24
Pudahuel,D30,2018-05-24,70.25,24
Santiago,D13,2018-05-24,52.416666666666664,24
Pudahuel,D30,2018-05-25,68.875,24
Quilicura,D31,2018-05-25,54.291666666666664,24
Santiago,D13,2018-05-25,50.375,24
Pudahuel,D30,2018-05-26,52.375,24
Puente Alto,D15,2018-05-26,65.58333333333333,24
Quilicura,D31,2018-05-26,60.375,24
Santiago,D13,2018-05-26,57.041666666666664,24
Pudahuel,D30,2018-05-27,77.54166666666667,24
Quilicura,D31,2018-05-27,65.75,24
Santiago,D13,2018-05-27,71.41666666666667,24
Pudahuel,D30,2018-06-02,81.66666666666667,24
Quilicura,D31,2018-06-02,55.5,24
Santiago,D13,2018-06-02,55.541666666666664,24
Pudahuel,D30,2018-06-04,72.56521739130434,23
Quilicura,D31,2018-06-04,59.125,24
Santiago,D13,2018-06-04,54.791666666666664,24
Pudahuel,D30,2018-06-05,78.95833333333333,24
Quilicura,D31,2018-06-05,61.916666666666664,24
Pudahuel,D30,2018-06-08,54.0,24
Quilicura,D31,2018-06-08,50.041666666666664,24
Santiago,D13,2018-06-08,52.208333333333336,24
Pudahuel,D30,2018-06-09,51.708333333333336,24
Pudahuel,D30,2018-06-13,55.708333333333336,24
Pudahuel,D30,2018-06-14,75.29166666666667,24
Quilicura,D31,2018-06-14,56.958333333333336,24
Santiago,D13,2018-06-14,58.333333333333336,24
Pudahuel,D30,2018-06-15,75.625,24
Puente Alto,D15,2018-06-15,58.291666666666664,24
Quilicura,D31,2018-06-15,59.25,24
Santiago,D13,2018-06-15,63.833333333333336,24
Pudahuel,D30,2018-06-16,113.16666666666667,24
Quilicura,D31,2018-06-16,53.916666666666664,24
Santiago,D13,2018-06-16,60.625,24
Pudahuel,D30,2018-06-17,133.5,24
Quilicura,D31,2018-06-17,53.291666666666664,24
Santiago,D13,2018-06-17,51.833333333333336,24
Pudahuel,D30,2018-06-18,67.125,24
Pudahuel,D30,2018-06-20,62.375,24
Quilicura,D31,2018-06-20,51.041666666666664,24
Santiago,D13,2018-06-20,57.958333333333336,24
Pudahuel,D30,2018-06-21,56.666666666666664,24
Pudahuel,D30,2018-06-22,58.416666666666664,24
Quilicura,D31,2018-06-22,54.875,24
Santiago,D13,2018-06-22,55.666666666666664,24
Las Condes,D14,2018-06-23,57.75,24
Pudahuel,D30,2018-06-23,80.75,24
Puente Alto,D15,2018-06-23,69.66666666666667,24
Quilicura,D31,2018-06-23,73.25,24
Santiago,D13,2018-06-23,69.91666666666667,24
Pudahuel,D30,2018-06-24,66.66666666666667,24
Quilicura,D31,2018-06-24,61.125,24
Santiago,D13,2018-06-24,64.375,24
Pudahuel,D30,2018-06-25,53.166666666666664,24
Quilicura,D31,2018-06-25,50.708333333333336,24
Santiago,D13,2018-06-25,56.0,24
Pudahuel,D30,2018-06-26,66.70833333333333,24
Puente Alto,D15,2018-06-26,53.791666666666664,24
Quilicura,D31,2018-06-26,68.08333333333333,24
Santiago,D13,2018-06-26,65.58333333333333,24
Pudahuel,D30,2018-06-27,84.25,24
Quilicura,D31,2018-06-27,73.20833333333333,24
Santiago,D13,2018-06-27,67.91666666666667,24
Pudahuel,D30,2018-06-28,61.333333333333336,24
Quilicura,D31,2018-06-28,52.083333333333336,24
Pudahuel,D30,2018-06-29,50.416666666666664,24
Quilicura,D31,2018-06-29,55.75,24
Santiago,D13,2018-06-29,51.833333333333336,24
Pudahuel,D30,2018-06-30,59.75,24
Quilicura,D31,2018-06-30,51.583333333333336,24
Santiago,D13,2018-06-30,55.583333333333336,24
Pudahuel,D30,2018-07-08,73.08333333333333,24
Santiago,D13,2018-07-08,52.541666666666664,24
Las Condes,D14,2018-07-11,54.208333333333336,24
Puente Alto,D15,2018-07-11,52.666666666666664,24
Santiago,D13,2018-07-11,51.041666666666664,24
Pudahuel,D30,2018-07-12,69.58333333333333,24
Puente Alto,D15,2018-07-12,58.958333333333336,24
Quilicura,D31,2018-07-12,57.125,24
Santiago,D13,2018-07-12,71.16666666666667,24
Pudahuel,D30,2018-07-13,70.75,24
Quilicura,D31,2018-07-13,51.083333333333336,24
Santiago,D13,2018-07-13,60.791666666666664,24
Pudahuel,D30,2018-07-14,55.875,24
Santiago,D13,2018-07-16,50.083333333333336,24
Pudahuel,D30,2018-07-20,51.25,24
Pudahuel,D30,2018-07-21,61.541666666666664,24
Pudahuel,D30,2018-07-24,68.58333333333333,24
Pudahuel,D30,2018-07-25,63.5,24
Quilicura,D31,2018-07-25,61.166666666666664,24
Santiago,D13,2018-07-25,65.75,24
Pudahuel,D30,2018-07-26,54.041666666666664,24
Quilicura,D31,2018-07-26,65.04166666666667,24
Santiago,D13,2018-07-26,66.58333333333333,24
Pudahuel,D30,2018-07-28,61.375,24
Pudahuel,D30,2018-07-29,57.666666666666664,24
Pudahuel,D30,2018-07-30,53.708333333333336,24
Pudahuel,D30,2018-07-31,66.66666666666667,24
Quilicura,D31,2018-07-31,51.625,24
