station_id,day,avg_pm25,avg_temp,avg_wind_speed,avg_wind_direction,period_Post-COVID,period_Pre-COVID,wind_cardinal_NW,wind_cardinal_S,wind_cardinal_SE,wind_cardinal_SW,wind_cardinal_W,comuna_Pudahuel,comuna_Puente Alto,comuna_Santiago
D13,2018-01-01,13.272727272727273,21.145168261094526,1.7241612659259276,217.89412151683462,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-02,14.73913043478261,21.36179132046907,1.3828957003095876,223.5096953018852,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-03,12.125,23.240883469581604,1.5448356953759987,222.3887087504069,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-04,9.0,22.729991555213928,1.6565065296987693,229.54862340291342,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-05,12.166666666666666,22.396599849065144,1.671546719968319,223.2161661783854,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-06,12.416666666666666,25.456833163897198,1.1453280587059755,230.11979166666666,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-07,17.958333333333332,22.89904983838399,1.8675948899860184,227.51391792297363,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-08,12.708333333333334,21.029712637265522,1.6892754659056664,219.36337598164877,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-09,10.583333333333334,21.651337544123333,1.6353527928392093,224.15575091044107,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-10,21.958333333333332,22.873249967892963,1.6468129195272923,233.571751276652,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-11,17.583333333333332,21.48415406545003,1.7357061070700486,227.06395975748697,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-12,14.041666666666666,20.37320828437805,1.8037595028678577,225.24737485249838,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-13,15.333333333333334,20.287354191144306,1.4103802517056465,228.48603947957358,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-14,15.291666666666666,19.3618000348409,1.8287904858589172,224.31475257873535,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-15,12.625,17.920358260472614,1.6225841318567593,220.09470876057944,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-16,11.333333333333334,19.15940006573995,1.6391016667087872,221.9707908630371,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-17,14.083333333333334,22.25475005308787,1.2585551192363102,215.64369519551596,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-18,14.0,24.34430017925444,1.2664403014239811,236.96476164318267,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-19,16.708333333333332,22.78080407778422,1.6923288498073816,227.01550102233887,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-20,14.916666666666666,19.400941491127014,2.02173670878013,222.44137382507324,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-21,13.666666666666666,18.400875051816303,1.8936210460960865,228.35208320617676,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-22,15.791666666666666,20.430058280626934,1.589551257590453,225.1666660308838,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-23,16.583333333333332,19.781924883524578,1.7700807924071948,227.13858350118002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-24,17.291666666666668,22.228249828020733,1.6178049718340237,220.56475003560385,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-25,17.958333333333332,20.31350855032603,1.77980912104249,223.58012580871582,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-26,17.25,19.267695864041645,1.7040592481692631,225.99999936421713,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
D13,2018-01-27,16.833333333333332,22.538804054260254,1.2378650574634473,224.1047581334909,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
