comuna,month,total_compliant_days,critical_days_count,pct_critical_days
Las Condes,2018-01-01,31,0,0.0
Las Condes,2018-02-01,23,0,0.0
Las Condes,2018-03-01,31,0,0.0
Las Condes,2018-04-01,30,0,0.0
Las Condes,2018-05-01,31,0,0.0
Las Condes,2018-06-01,28,1,3.571428571428571
Las Condes,2018-07-01,31,1,3.225806451612903
Las Condes,2018-08-01,31,2,6.451612903225806
Las Condes,2018-09-01,23,0,0.0
Las Condes,2018-10-01,27,0,0.0
Las Condes,2018-11-01,22,0,0.0
Las Condes,2018-12-01,30,0,0.0
Las Condes,2019-01-01,31,0,0.0
Las Condes,2019-02-01,25,0,0.0
Las Condes,2019-03-01,25,0,0.0
Las Condes,2019-04-01,30,0,0.0
Las Condes,2019-05-01,31,0,0.0
Las Condes,2019-06-01,30,0,0.0
Las Condes,2019-07-01,31,2,6.451612903225806
Las Condes,2019-08-01,31,0,0.0
Las Condes,2019-09-01,30,0,0.0
Las Condes,2019-10-01,31,0,0.0
Las Condes,2019-11-01,30,0,0.0
Las Condes,2019-12-01,29,0,0.0
Las Condes,2020-01-01,29,0,0.0
Las Condes,2020-02-01,29,0,0.0
Las Condes,2020-03-01,26,0,0.0
Las Condes,2020-04-01,30,0,0.0
Las Condes,2020-05-01,31,0,0.0
Las Condes,2020-06-01,30,0,0.0
Las Condes,2020-07-01,31,0,0.0
Las Condes,2020-08-01,31,0,0.0
Las Condes,2020-09-01,30,0,0.0
Las Condes,2020-10-01,31,0,0.0
Las Condes,2020-11-01,26,0,0.0
Las Condes,2020-12-01,29,0,0.0
Las Condes,2021-01-01,31,0,0.0
Las Condes,2021-02-01,28,0,0.0
Las Condes,2021-03-01,23,0,0.0
Las Condes,2021-04-01,30,0,0.0
Las Condes,2021-05-01,31,1,3.225806451612903
Las Condes,2021-06-01,30,0,0.0
Las Condes,2021-07-01,31,2,6.451612903225806
Las Condes,2021-08-01,31,3,9.67741935483871
Las Condes,2021-09-01,30,0,0.0
Las Condes,2021-10-01,31,0,0.0
Las Condes,2021-11-01,30,0,0.0
Las Condes,2021-12-01,27,0,0.0
Las Condes,2022-01-01,31,0,0.0
Las Condes,2022-02-01,25,0,0.0
Las Condes,2022-03-01,25,0,0.0
Las Condes,2022-04-01,30,0,0.0
Las Condes,2022-05-01,31,3,9.67741935483871
Las Condes,2022-06-01,30,3,10.0
Las Condes,2022-07-01,30,0,0.0
Las Condes,2022-08-01,31,1,3.225806451612903
